"hgnc_symbol"	"hgnc_id"	"description"
"FHIT"	"HGNC:3701"	"fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]"
"FLCN"	"HGNC:27310"	"folliculin [Source:HGNC Symbol;Acc:HGNC:27310]"
"FLG"	"HGNC:3748"	"filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]"
"FLNA"	"HGNC:3754"	"filamin A [Source:HGNC Symbol;Acc:HGNC:3754]"
"FLNB"	"HGNC:3755"	"filamin B [Source:HGNC Symbol;Acc:HGNC:3755]"
"FLNC"	"HGNC:3756"	"filamin C [Source:HGNC Symbol;Acc:HGNC:3756]"
"FMR1"	"HGNC:3775"	"fragile X messenger ribonucleoprotein 1 [Source:HGNC Symbol;Acc:HGNC:3775]"
"FOXC1"	"HGNC:3800"	"forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]"
"FOXC2"	"HGNC:3801"	"forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]"
"FOXE3"	"HGNC:3808"	"forkhead box E3 [Source:HGNC Symbol;Acc:HGNC:3808]"
"FOXF1"	"HGNC:3809"	"forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]"
"FOXG1"	"HGNC:3811"	"forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]"
"FOXL2"	"HGNC:1092"	"forkhead box L2 [Source:HGNC Symbol;Acc:HGNC:1092]"
"FOXP1"	"HGNC:3823"	"forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]"
"FOXP2"	"HGNC:13875"	"forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]"
"FRMD7"	"HGNC:8079"	"FERM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:8079]"
"FTL"	"HGNC:3999"	"ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]"
"FTSJ1"	"HGNC:13254"	"FtsJ RNA 2'-O-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13254]"
"FZD4"	"HGNC:4042"	"frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]"
"GABRA1"	"HGNC:4075"	"gamma-aminobutyric acid type A receptor subunit alpha1 [Source:HGNC Symbol;Acc:HGNC:4075]"
"GABRB3"	"HGNC:4083"	"gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]"
"GABRG2"	"HGNC:4087"	"gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]"
"GALNT12"	"HGNC:19877"	"polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]"
"GALR1"	"HGNC:4132"	"galanin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4132]"
"GATA1"	"HGNC:4170"	"GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]"
"GATA2"	"HGNC:4171"	"GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]"
"GATA3"	"HGNC:4172"	"GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]"
"GATA4"	"HGNC:4173"	"GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]"
"GATA6"	"HGNC:4174"	"GATA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:4174]"
"GATAD2B"	"HGNC:30778"	"GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]"
"GCH1"	"HGNC:4193"	"GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]"
"GDF2"	"HGNC:4217"	"growth differentiation factor 2 [Source:HGNC Symbol;Acc:HGNC:4217]"
"GDF5"	"HGNC:4220"	"growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]"
"GDI1"	"HGNC:4226"	"GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]"
"GIGYF2"	"HGNC:11960"	"GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]"
"GJA1"	"HGNC:4274"	"gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]"
"GJA5"	"HGNC:4279"	"gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]"
"GJA8"	"HGNC:4281"	"gap junction protein alpha 8 [Source:HGNC Symbol;Acc:HGNC:4281]"
"GJB6"	"HGNC:4288"	"gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]"
"GK"	"HGNC:4289"	"glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]"
"GLA"	"HGNC:4296"	"galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]"
"GLI2"	"HGNC:4318"	"GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]"
"GLI3"	"HGNC:4319"	"GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]"
"GLMN"	"HGNC:14373"	"glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]"
"GNAI1"	"HGNC:4384"	"G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]"
"GNAI3"	"HGNC:4387"	"G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]"
"GNAO1"	"HGNC:4389"	"G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]"
"GNAS"	"HGNC:4392"	"GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]"
"GNB1"	"HGNC:4396"	"G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]"
"GOLGA2P2Y"	"HGNC:16479"	"GOLGA2 pseudogene 2 Y-linked [Source:HGNC Symbol;Acc:HGNC:16479]"
"GPC3"	"HGNC:4451"	"glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]"
"GPC5"	"HGNC:4453"	"glypican 5 [Source:HGNC Symbol;Acc:HGNC:4453]"
"GPHN"	"HGNC:15465"	"gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]"
"GPR148"	"HGNC:23623"	"G protein-coupled receptor 148 [Source:HGNC Symbol;Acc:HGNC:23623]"
"GRB10"	"HGNC:4564"	"growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]"
"GREM1"	"HGNC:2001"	"gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]"
"GRIA3"	"HGNC:4573"	"glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]"
"GRID1"	"HGNC:4575"	"glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]"
"GRIN2A"	"HGNC:4585"	"glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]"
"GRIN2B"	"HGNC:4586"	"glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]"
"GTF2I"	"HGNC:4659"	"general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]"
"GTF2IRD1"	"HGNC:4661"	"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"GTF2IRD2"	"HGNC:30775"	"GTF2I repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30775]"
"GUCY2C"	"HGNC:4688"	"guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]"
"H1-4"	"HGNC:4718"	"H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]"
"H19"	"HGNC:4713"	"H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]"
"HDAC4"	"HGNC:14063"	"histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]"
"HDAC8"	"HGNC:13315"	"histone deacetylase 8 [Source:HGNC Symbol;Acc:HGNC:13315]"
"HIRA"	"HGNC:4916"	"histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]"
"HIVEP2"	"HGNC:4921"	"HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]"
"HIVEP3"	"HGNC:13561"	"HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]"
"HMBS"	"HGNC:4982"	"hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]"
"HMGA2"	"HGNC:5009"	"high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]"
"HNF1B"	"HGNC:11630"	"HNF1 homeobox B [Source:HGNC Symbol;Acc:HGNC:11630]"
"HNRNPK"	"HGNC:5044"	"heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:HGNC:5044]"
"HOXD13"	"HGNC:5136"	"homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]"
"HOXD9"	"HGNC:5140"	"homeobox D9 [Source:HGNC Symbol;Acc:HGNC:5140]"
"HPRT1"	"HGNC:5157"	"hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]"
"HRAS"	"HGNC:5173"	"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]"
"HSD17B10"	"HGNC:4800"	"hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"HUWE1"	"HGNC:30892"	"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]"
"HYMAI"	"HGNC:5326"	"hydatidiform mole associated and imprinted [Source:HGNC Symbol;Acc:HGNC:5326]"
"IDS"	"HGNC:5389"	"iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]"
"IGF1R"	"HGNC:5465"	"insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]"
"IGF2"	"HGNC:5466"	"insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]"
"IGF2R"	"HGNC:5467"	"insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]"
"IKBKG"	"HGNC:5961"	"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]"
"IL1RAPL1"	"HGNC:5996"	"interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]"
"IMPA1"	"HGNC:6050"	"inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]"
"INS"	"HGNC:6081"	"insulin [Source:HGNC Symbol;Acc:HGNC:6081]"
"IQSEC2"	"HGNC:29059"	"IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059]"
"IRF6"	"HGNC:6121"	"interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]"
"ITGB3"	"HGNC:6156"	"integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]"
"ITSN1"	"HGNC:6183"	"intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]"
"JAG1"	"HGNC:6188"	"jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]"
"JARID2"	"HGNC:6196"	"jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]"
"KANK1"	"HGNC:19309"	"KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]"
"KANSL1"	"HGNC:24565"	"KAT8 regulatory NSL complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24565]"
"KAT6A"	"HGNC:13013"	"lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]"
"KAT6B"	"HGNC:17582"	"lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]"
"KATNAL2"	"HGNC:25387"	"katanin catalytic subunit A1 like 2 [Source:HGNC Symbol;Acc:HGNC:25387]"
"KCNH1"	"HGNC:6250"	"potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]"
"KCNH2"	"HGNC:6251"	"potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]"
"KCNK9"	"HGNC:6283"	"potassium two pore domain channel subfamily K member 9 [Source:HGNC Symbol;Acc:HGNC:6283]"
"KCNQ1"	"HGNC:6294"	"potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]"
"KCNQ2"	"HGNC:6296"	"potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]"
"KDM5B"	"HGNC:18039"	"lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]"
"KDM6A"	"HGNC:12637"	"lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]"
"KDM6B"	"HGNC:29012"	"lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]"
"KIF11"	"HGNC:6388"	"kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]"
"KIF1A"	"HGNC:888"	"kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]"
"KLF14"	"HGNC:23025"	"KLF transcription factor 14 [Source:HGNC Symbol;Acc:HGNC:23025]"
"KLF8"	"HGNC:6351"	"KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]"
"KMT2A"	"HGNC:7132"	"lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]"
"KMT2B"	"HGNC:15840"	"lysine methyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:15840]"
"KMT2C"	"HGNC:13726"	"lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]"
"KMT2D"	"HGNC:7133"	"lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]"
"KMT2E"	"HGNC:18541"	"lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]"
"KMT5B"	"HGNC:24283"	"lysine methyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:24283]"
"L1CAM"	"HGNC:6470"	"L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]"
"L3MBTL1"	"HGNC:15905"	"L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]"
"LAMP2"	"HGNC:6501"	"lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"LBX1"	"HGNC:16960"	"ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]"
"LDLR"	"HGNC:6547"	"low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]"
"LEMD3"	"HGNC:28887"	"LEM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28887]"
"LETM1"	"HGNC:6556"	"leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]"
"LHX4"	"HGNC:21734"	"LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]"
"LIMK1"	"HGNC:6613"	"LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]"
"LITAF"	"HGNC:16841"	"lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]"
"LMNA"	"HGNC:6636"	"lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]"
"LMNB1"	"HGNC:6637"	"lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]"
"LMTK3"	"HGNC:19295"	"lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]"
"LMX1B"	"HGNC:6654"	"LIM homeobox transcription factor 1 beta [Source:HGNC Symbol;Acc:HGNC:6654]"
"LRP5"	"HGNC:6697"	"LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]"
"LSS"	"HGNC:6708"	"lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]"
"MAFB"	"HGNC:6408"	"MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]"
"MAGEL2"	"HGNC:6814"	"MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]"
"MAGT1"	"HGNC:28880"	"magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28880]"
"MAOA"	"HGNC:6833"	"monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
"MAP2K1"	"HGNC:6840"	"mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]"
"MAP2K2"	"HGNC:6842"	"mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]"
"MAP3K1"	"HGNC:6848"	"mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]"
"MAPT"	"HGNC:6893"	"microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]"
"MATN3"	"HGNC:6909"	"matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]"
"MAX"	"HGNC:6913"	"MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]"
"MBD5"	"HGNC:20444"	"methyl-CpG binding domain protein 5 [Source:HGNC Symbol;Acc:HGNC:20444]"
"MECP2"	"HGNC:6990"	"methyl-CpG binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6990]"
"MED12"	"HGNC:11957"	"mediator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:11957]"
"MEF2C"	"HGNC:6996"	"myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]"
"MEFV"	"HGNC:6998"	"MEFV innate immunity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]"
"MEIS2"	"HGNC:7001"	"Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]"
"MEN1"	"HGNC:7010"	"menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]"
"MEST"	"HGNC:7028"	"mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]"
"MET"	"HGNC:7029"	"MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]"
"MFHAS1"	"HGNC:16982"	"multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]"
"MFN2"	"HGNC:16877"	"mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]"
"MID1"	"HGNC:7095"	"midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]"
"MID2"	"HGNC:7096"	"midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]"
"MITF"	"HGNC:7105"	"melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]"
"MLH1"	"HGNC:7127"	"mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]"
"MNX1"	"HGNC:4979"	"motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]"
"MOV10"	"HGNC:7200"	"Mov10 RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]"
"MSH2"	"HGNC:7325"	"mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]"
"MSH6"	"HGNC:7329"	"mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]"
"MSX1"	"HGNC:7391"	"msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]"
"MSX2"	"HGNC:7392"	"msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]"
"MTAP"	"HGNC:7413"	"methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]"
"MTM1"	"HGNC:7448"	"myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]"
"MYBPC3"	"HGNC:7551"	"myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]"
"MYCN"	"HGNC:7559"	"MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]"
"MYH10"	"HGNC:7568"	"myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]"
"MYH11"	"HGNC:7569"	"myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]"
"MYH7"	"HGNC:7577"	"myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]"
"MYL3"	"HGNC:7584"	"myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]"
"MYLK"	"HGNC:7590"	"myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]"
"MYT1L"	"HGNC:7623"	"myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]"
"NAA10"	"HGNC:18704"	"N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]"
"NAA15"	"HGNC:30782"	"N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]"
"NAALADL2"	"HGNC:23219"	"N-acetylated alpha-linked acidic dipeptidase like 2 [Source:HGNC Symbol;Acc:HGNC:23219]"
"NBEA"	"HGNC:7648"	"neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]"
"NBN"	"HGNC:7652"	"nibrin [Source:HGNC Symbol;Acc:HGNC:7652]"
"NCKAP1"	"HGNC:7666"	"NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]"
"NDN"	"HGNC:7675"	"necdin, MAGE family member [Source:HGNC Symbol;Acc:HGNC:7675]"
"NDP"	"HGNC:7678"	"norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]"
"NDUFA1"	"HGNC:7683"	"NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]"
"NEBL"	"HGNC:16932"	"nebulette [Source:HGNC Symbol;Acc:HGNC:16932]"
"NEDD9"	"HGNC:7733"	"neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]"
"NEFL"	"HGNC:7739"	"neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]"
"NELFA"	"HGNC:12768"	"negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768]"
"NEXMIF"	"HGNC:29433"	"neurite extension and migration factor [Source:HGNC Symbol;Acc:HGNC:29433]"
"NF1"	"HGNC:7765"	"neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]"
"NF2"	"HGNC:7773"	"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]"
"NFIA"	"HGNC:7784"	"nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]"
"NFIX"	"HGNC:7788"	"nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]"
"NHS"	"HGNC:7820"	"NHS actin remodeling regulator [Source:HGNC Symbol;Acc:HGNC:7820]"
"NIPA1"	"HGNC:17043"	"NIPA magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:17043]"
"NIPA2"	"HGNC:17044"	"NIPA magnesium transporter 2 [Source:HGNC Symbol;Acc:HGNC:17044]"
"NIPBL"	"HGNC:28862"	"NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]"
"NKX2-5"	"HGNC:2488"	"NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]"
"NLGN1"	"HGNC:14291"	"neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]"
"NLGN3"	"HGNC:14289"	"neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289]"
"NNAT"	"HGNC:7860"	"neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]"
"NODAL"	"HGNC:7865"	"nodal growth differentiation factor [Source:HGNC Symbol;Acc:HGNC:7865]"
"NOG"	"HGNC:7866"	"noggin [Source:HGNC Symbol;Acc:HGNC:7866]"
"NOTCH2"	"HGNC:7882"	"notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]"
"NPTX2"	"HGNC:7953"	"neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]"
"NR0B1"	"HGNC:7960"	"nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]"
"NR2F1"	"HGNC:7975"	"nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]"
"NR2F2"	"HGNC:7976"	"nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]"
"NR3C2"	"HGNC:7979"	"nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]"
"NR4A2"	"HGNC:7981"	"nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]"
"NR5A1"	"HGNC:7983"	"nuclear receptor subfamily 5 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7983]"
"NRG3"	"HGNC:7999"	"neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]"
"NRXN1"	"HGNC:8008"	"neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]"
"NSD1"	"HGNC:14234"	"nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]"
"NSDHL"	"HGNC:13398"	"NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]"
"NTAN1"	"HGNC:29909"	"N-terminal asparagine amidase [Source:HGNC Symbol;Acc:HGNC:29909]"
"NUS1"	"HGNC:21042"	"NUS1 dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:21042]"
"NXF5"	"HGNC:8075"	"nuclear RNA export factor 5 [Source:HGNC Symbol;Acc:HGNC:8075]"
"NYX"	"HGNC:8082"	"nyctalopin [Source:HGNC Symbol;Acc:HGNC:8082]"
"OCRL"	"HGNC:8108"	"OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]"
"OFD1"	"HGNC:2567"	"OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]"
"OPHN1"	"HGNC:8148"	"oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]"
"OR5AU1"	"HGNC:15362"	"olfactory receptor family 5 subfamily AU member 1 [Source:HGNC Symbol;Acc:HGNC:15362]"
"OSBPL5"	"HGNC:16392"	"oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]"
"OTC"	"HGNC:8512"	"ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512]"
"OTUD7A"	"HGNC:20718"	"OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718]"
"OTX2"	"HGNC:8522"	"orthodenticle homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8522]"
"PACS1"	"HGNC:30032"	"phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]"
"PAFAH1B1"	"HGNC:8574"	"platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"PAK2"	"HGNC:8591"	"p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]"
"PAK3"	"HGNC:8592"	"p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]"
"PAX2"	"HGNC:8616"	"paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]"
"PAX3"	"HGNC:8617"	"paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]"
"PAX5"	"HGNC:8619"	"paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]"
"PAX6"	"HGNC:8620"	"paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]"
"PAX8"	"HGNC:8622"	"paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622]"
"PAX9"	"HGNC:8623"	"paired box 9 [Source:HGNC Symbol;Acc:HGNC:8623]"
