gene	transcript	mean_am_pathogenicity_bin	mean_am_pathogenicity	Approved_Symbol	HGNC_ID
SPTLC2	ENST00000216484	1	0.52668514	SPTLC2	HGNC:11278
GTPBP4	ENST00000360803	1	0.526677783	GTPBP4	HGNC:21535
AMPD3	ENST00000529507	1	0.526564123	AMPD3	HGNC:470
UBP1	ENST00000283628	1	0.526537986	UBP1	HGNC:12507
CYR61	ENST00000451137	1	0.526509667	CCN1	HGNC:2654
RND1	ENST00000309739	1	0.526499951	RND1	HGNC:18314
KLHL8	ENST00000512111	1	0.526477505	KLHL8	HGNC:18644
ZNF195	ENST00000399602	1	0.526422384	ZNF195	HGNC:12986
UPK1A	ENST00000222275	1	0.526390344	UPK1A	HGNC:12577
TFCP2L1	ENST00000263707	1	0.526371045	TFCP2L1	HGNC:17925
SNRK	ENST00000296088	1	0.526357956	SNRK	HGNC:30598
JAKMIP2	ENST00000265272	1	0.526349671	JAKMIP2	HGNC:29067
UBE2O	ENST00000319380	1	0.526309378	UBE2O	HGNC:29554
MED25	ENST00000312865	1	0.526232661	MED25	HGNC:28845
GAD2	ENST00000376261	1	0.526222771	GAD2	HGNC:4093
TOB2	ENST00000327492	1	0.526221899	TOB2	HGNC:11980
B4GALT3	ENST00000367998	1	0.5261986	B4GALT3	HGNC:926
SEC63	ENST00000369002	1	0.526085541	SEC63	HGNC:21082
HOXA11	ENST00000006015	1	0.52606227	HOXA11	HGNC:5101
ZBTB26	ENST00000373654	1	0.526028379	ZBTB26	HGNC:23383
TOR1A	ENST00000351698	1	0.526027782	TOR1A	HGNC:3098
CCDC132	ENST00000305866	1	0.526027551	VPS50	HGNC:25956
HS3ST3A1	ENST00000284110	1	0.526023632	HS3ST3A1	HGNC:5196
WSB1	ENST00000262394	1	0.526008941	WSB1	HGNC:19221
NR5A2	ENST00000367362	1	0.525970788	NR5A2	HGNC:7984
CCNL1	ENST00000295926	1	0.52596623	CCNL1	HGNC:20569
MANF	ENST00000528157	1	0.52587239	MANF	HGNC:15461
KHDRBS3	ENST00000355849	1	0.525861772	KHDRBS3	HGNC:18117
NMD3	ENST00000460469	1	0.525831678	NMD3	HGNC:24250
ARHGAP26	ENST00000274498	1	0.525822303	ARHGAP26	HGNC:17073
INPP4A	ENST00000523221	1	0.525734508	INPP4A	HGNC:6074
MTM1	ENST00000370396	1	0.525698473	MTM1	HGNC:7448
ATP11B	ENST00000323116	1	0.525679075	ATP11B	HGNC:13553
KEAP1	ENST00000393623	1	0.525661536	KEAP1	HGNC:23177
KLF9	ENST00000377126	1	0.525640364	KLF9	HGNC:1123
SEC62	ENST00000480708	1	0.525617443	SEC62	HGNC:11846
PIK3R4	ENST00000356763	1	0.525557123	PIK3R4	HGNC:8982
CACNA1I	ENST00000402142	1	0.525552702	CACNA1I	HGNC:1396
SBK1	ENST00000341901	1	0.525535455	SBK1	HGNC:17699
USMG5	ENST00000369815	1	0.525495223	ATP5MK	HGNC:30889
C9orf72	ENST00000380003	1	0.525463283	C9orf72	HGNC:28337
SYT9	ENST00000318881	1	0.525429521	SYT9	HGNC:19265
SMYD2	ENST00000366957	1	0.525421395	SMYD2	HGNC:20982
DAAM1	ENST00000395125	1	0.525392189	DAAM1	HGNC:18142
HECW1	ENST00000395891	1	0.525373625	HECW1	HGNC:22195
ANP32B	ENST00000339399	1	0.525345023	ANP32B	HGNC:16677
ATG16L1	ENST00000392017	1	0.525295811	ATG16L1	HGNC:21498
VPS25	ENST00000253794	1	0.52528866	VPS25	HGNC:28122
NOSIP	ENST00000596358	1	0.525238992	NOSIP	HGNC:17946
RALYL	ENST00000521268	1	0.525220186	RALYL	HGNC:27036
GABRR1	ENST00000454853	1	0.525186514	GABRR1	HGNC:4090
WDR59	ENST00000262144	1	0.525130303	WDR59	HGNC:25706
BCL2L1	ENST00000307677	1	0.525121337	BCL2L1	HGNC:992
CYCS	ENST00000409764	1	0.525074157	CYCS	HGNC:19986
CDK18	ENST00000360066	1	0.525044154	CDK18	HGNC:8751
FAM206A	ENST00000322940	1	0.525037268	ABITRAM	HGNC:1364
SESTD1	ENST00000428443	1	0.525001814	SESTD1	HGNC:18379
PAPOLA	ENST00000216277	1	0.524934657	PAPOLA	HGNC:14981
GYS2	ENST00000261195	1	0.524930505	GYS2	HGNC:4707
ADARB1	ENST00000360697	1	0.524860367	ADARB1	HGNC:226
RUNX3	ENST00000308873	1	0.524828871	RUNX3	HGNC:10473
NR6A1	ENST00000487099	1	0.52481674	NR6A1	HGNC:7985
RAPGEF1	ENST00000372189	1	0.524800944	RAPGEF1	HGNC:4568
MBLAC2	ENST00000316610	1	0.524792789	MBLAC2	HGNC:33711
TMED10	ENST00000303575	1	0.52478544	TMED10	HGNC:16998
PLOD3	ENST00000223127	1	0.524751701	PLOD3	HGNC:9083
HTR7	ENST00000336152	1	0.524732956	HTR7	HGNC:5302
SOSTDC1	ENST00000307068	1	0.524726845	SOSTDC1	HGNC:21748
SYT6	ENST00000610222	1	0.5246968	SYT6	HGNC:18638
XKRX	ENST00000372956	1	0.524689472	XKRX	HGNC:29845
FRG1	ENST00000226798	1	0.524644339	FRG1	HGNC:3954
SHMT2	ENST00000328923	1	0.524633022	SHMT2	HGNC:10852
DNAJB12	ENST00000444643	1	0.52462761	DNAJB12	HGNC:14891
PIAS2	ENST00000585916	1	0.52457241	PIAS2	HGNC:17311
TRMT112	ENST00000544844	1	0.52456499	TRMT112	HGNC:26940
B4GALT5	ENST00000371711	1	0.524466205	B4GALT5	HGNC:928
ATIC	ENST00000236959	1	0.524439621	ATIC	HGNC:794
BNIP2	ENST00000607373	1	0.524379891	BNIP2	HGNC:1083
SACM1L	ENST00000389061	1	0.524341119	SACM1L	HGNC:17059
FAM127C	ENST00000391440	1	0.52433878	RTL8B	HGNC:33156
KHDRBS1	ENST00000327300	1	0.524326783	KHDRBS1	HGNC:18116
SNX18	ENST00000343017	1	0.524297922	SNX18	HGNC:19245
SOX9	ENST00000245479	1	0.524291394	SOX9	HGNC:11204
C19orf43	ENST00000242784	1	0.524204498	TRIR	HGNC:28424
ATCAY	ENST00000450849	1	0.524189455	ATCAY	HGNC:779
SLC25A15	ENST00000338625	1	0.524170729	SLC25A15	HGNC:10985
A1CF	ENST00000373993	1	0.524166933	A1CF	HGNC:24086
NOS1	ENST00000317775	1	0.524154229	NOS1	HGNC:7872
EXOSC3	ENST00000327304	1	0.524106464	EXOSC3	HGNC:17944
KLF2	ENST00000248071	1	0.524078833	KLF2	HGNC:6347
ABHD8	ENST00000247706	1	0.524064057	ABHD8	HGNC:23759
BRIX1	ENST00000336767	1	0.52401526	BRIX1	HGNC:24170
GREM2	ENST00000318160	1	0.523950819	GREM2	HGNC:17655
SP9	ENST00000394967	1	0.523944345	SP9	HGNC:30690
PRSS23	ENST00000280258	1	0.52392	PRSS23	HGNC:14370
PANX2	ENST00000395842	1	0.523910092	PANX2	HGNC:8600
FOXB1	ENST00000396057	1	0.523874525	FOXB1	HGNC:3799
TRIM24	ENST00000343526	1	0.5238077	TRIM24	HGNC:11812
CDC20	ENST00000372462	1	0.523800829	CDC20	HGNC:1723
HOXB8	ENST00000239144	1	0.52379069	HOXB8	HGNC:5119
CHRNA1	ENST00000261007	1	0.523737179	CHRNA1	HGNC:1955
HOXC4	ENST00000430889	1	0.523733176	HOXC4	HGNC:5126
ANKIB1	ENST00000265742	1	0.523702801	ANKIB1	HGNC:22215
WDR83	ENST00000418543	1	0.523696062	WDR83	HGNC:32672
RPL14	ENST00000396203	1	0.523681886	RPL14	HGNC:10305
BCAS3	ENST00000390652	1	0.523673783	BCAS3	HGNC:14347
ING3	ENST00000315870	1	0.523659978	ING3	HGNC:14587
B9D2	ENST00000243578	1	0.523633274	B9D2	HGNC:28636
HKDC1	ENST00000354624	1	0.523630627	HKDC1	HGNC:23302
SEMA3F	ENST00000002829	1	0.523627039	SEMA3F	HGNC:10728
THOC1	ENST00000261600	1	0.523580726	THOC1	HGNC:19070
SLC38A1	ENST00000546893	1	0.523563799	SLC38A1	HGNC:13447
RAB40B	ENST00000571995	1	0.523500139	RAB40B	HGNC:18284
UBASH3B	ENST00000284273	1	0.523460414	UBASH3B	HGNC:29884
SEC14L3	ENST00000215812	1	0.52343971	SEC14L3	HGNC:18655
FAM120A	ENST00000277165	1	0.523426311	FAM120A	HGNC:13247
INO80C	ENST00000334598	1	0.523314034	INO80C	HGNC:26994
ST8SIA2	ENST00000268164	1	0.523274619	ST8SIA2	HGNC:10870
PPT2	ENST00000324816	1	0.523241723	PPT2	HGNC:9326
TAF9B	ENST00000341864	1	0.523233827	TAF9B	HGNC:17306
WDFY2	ENST00000298125	1	0.523221162	WDFY2	HGNC:20482
CCNK	ENST00000389879	1	0.52320739	CCNK	HGNC:1596
CYBA	ENST00000261623	1	0.523125693	CYBA	HGNC:2577
CBLL1	ENST00000440859	1	0.523091812	CBLL1	HGNC:21225
UNC5C	ENST00000453304	1	0.523091011	UNC5C	HGNC:12569
ELOVL5	ENST00000304434	1	0.522996754	ELOVL5	HGNC:21308
STXBP5L	ENST00000273666	1	0.522900816	STXBP5L	HGNC:30757
GRAMD4	ENST00000361034	1	0.522893685	GRAMD4	HGNC:29113
RNF5	ENST00000375094	1	0.522846649	RNF5	HGNC:10068
MAT2B	ENST00000321757	1	0.52282429	MAT2B	HGNC:6905
NXT2	ENST00000372106	1	0.522798194	NXT2	HGNC:18151
PTPRE	ENST00000254667	1	0.522773211	PTPRE	HGNC:9669
WDR70	ENST00000265107	1	0.522768717	WDR70	HGNC:25495
CAV1	ENST00000341049	1	0.52276355	CAV1	HGNC:1527
PRSS1	ENST00000311737	1	0.522700113	PRSS1	HGNC:9475
ZDHHC20	ENST00000415724	1	0.52269847	ZDHHC20	HGNC:20749
NOP58	ENST00000264279	1	0.52267945	NOP58	HGNC:29926
GPS2	ENST00000380728	1	0.522669715	GPS2	HGNC:4550
TMEM30A	ENST00000230461	1	0.522597912	TMEM30A	HGNC:16667
PDLIM1	ENST00000329399	1	0.522542763	PDLIM1	HGNC:2067
PAPOLG	ENST00000238714	1	0.522517662	PAPOLG	HGNC:14982
FNTB	ENST00000246166	1	0.522491868	FNTB	HGNC:3785
MMP2	ENST00000219070	1	0.522488249	MMP2	HGNC:7166
PTN	ENST00000348225	1	0.522451752	PTN	HGNC:9630
GRAPL	ENST00000344415	1	0.522442547	GRAPL	HGNC:37240
RAPSN	ENST00000298854	1	0.522405904	RAPSN	HGNC:9863
REPIN1	ENST00000425389	1	0.522405328	REPIN1	HGNC:17922
RNF152	ENST00000312828	1	0.522350332	RNF152	HGNC:26811
SMAD7	ENST00000262158	1	0.522333364	SMAD7	HGNC:6773
WDR33	ENST00000322313	1	0.522331477	WDR33	HGNC:25651
WDR24	ENST00000293883	1	0.52232676	WDR24	HGNC:20852
ARX	ENST00000379044	1	0.522246441	ARX	HGNC:18060
COMP	ENST00000222271	1	0.522156075	COMP	HGNC:2227
TMEM208	ENST00000304800	1	0.522150405	TMEM208	HGNC:25015
MCM3	ENST00000596288	1	0.522129695	MCM3	HGNC:6945
KHDRBS2	ENST00000281156	1	0.522127003	KHDRBS2	HGNC:18114
ELOVL2	ENST00000354666	1	0.522089289	ELOVL2	HGNC:14416
MAPK8IP3	ENST00000250894	1	0.522080192	MAPK8IP3	HGNC:6884
SOCS5	ENST00000394861	1	0.522044359	SOCS5	HGNC:16852
AGPS	ENST00000264167	1	0.522039269	AGPS	HGNC:327
SDCBP	ENST00000260130	1	0.522005503	SDCBP	HGNC:10662
GPR4	ENST00000323040	1	0.521988613	GPR4	HGNC:4497
PHOX2A	ENST00000298231	1	0.521941577	PHOX2A	HGNC:691
ANKRD44	ENST00000282272	1	0.521906301	ANKRD44	HGNC:25259
ALDH18A1	ENST00000371224	1	0.521844742	ALDH18A1	HGNC:9722
CPS1	ENST00000233072	1	0.521792308	CPS1	HGNC:2323
ROBO2	ENST00000461745	1	0.521778065	ROBO2	HGNC:10250
QRICH1	ENST00000424300	1	0.521742085	QRICH1	HGNC:24713
TMEM101	ENST00000589334	1	0.521688248	TMEM101	HGNC:28653
PMPCB	ENST00000249269	1	0.52167902	PMPCB	HGNC:9119
MOSPD1	ENST00000370783	1	0.521655315	MOSPD1	HGNC:25235
LSM14B	ENST00000279068	1	0.52161947	LSM14B	HGNC:15887
SLC5A1	ENST00000266088	1	0.521555879	SLC5A1	HGNC:11036
CAB39L	ENST00000410043	1	0.521497345	CAB39L	HGNC:20290
ONECUT1	ENST00000305901	1	0.521476516	ONECUT1	HGNC:8138
KLHL28	ENST00000396128	1	0.521474488	KLHL28	HGNC:19741
GPI	ENST00000356487	1	0.521461804	GPI	HGNC:4458
CNOT4	ENST00000315544	1	0.521461582	CNOT4	HGNC:7880
NAT14	ENST00000205194	1	0.521456695	NAT14	HGNC:28918
DYNLT3	ENST00000378578	1	0.521430728	DYNLT3	HGNC:11694
KLF6	ENST00000497571	1	0.521373783	KLF6	HGNC:2235
NEUROD1	ENST00000295108	1	0.521359387	NEUROD1	HGNC:7762
PSME1	ENST00000206451	1	0.521294487	PSME1	HGNC:9568
SOS1	ENST00000402219	1	0.521230462	SOS1	HGNC:11187
PDIA6	ENST00000272227	1	0.521190531	PDIA6	HGNC:30168
NDUFS1	ENST00000449699	1	0.521177899	NDUFS1	HGNC:7707
MIOX	ENST00000216075	1	0.521091332	MIOX	HGNC:14522
PIGK	ENST00000370812	1	0.521087384	PIGK	HGNC:8965
SERINC1	ENST00000339697	1	0.521083184	SERINC1	HGNC:13464
CERS6	ENST00000305747	1	0.521070611	CERS6	HGNC:23826
CNPY2	ENST00000273308	1	0.520976904	CNPY2	HGNC:13529
VAMP1	ENST00000396308	1	0.520927741	VAMP1	HGNC:12642
CTSD	ENST00000236671	1	0.520836149	CTSD	HGNC:2529
SLC5A7	ENST00000264047	1	0.520828516	SLC5A7	HGNC:14025
C1QTNF7	ENST00000444304	1	0.520727044	C1QTNF7	HGNC:14342
TOP2A	ENST00000423485	1	0.520710786	TOP2A	HGNC:11989
RCOR2	ENST00000301459	1	0.520680163	RCOR2	HGNC:27455
PPAP2B	ENST00000371250	1	0.520660343	PLPP3	HGNC:9229
ARHGAP42	ENST00000298815	1	0.520603268	ARHGAP42	HGNC:26545
PSME4	ENST00000404125	1	0.52058159	PSME4	HGNC:20635
CHRM1	ENST00000306960	1	0.52049415	CHRM1	HGNC:1950
P4HB	ENST00000331483	1	0.520436621	P4HB	HGNC:8548
ZDHHC14	ENST00000359775	1	0.520414423	ZDHHC14	HGNC:20341
NUCKS1	ENST00000367142	1	0.520410247	NUCKS1	HGNC:29923
CCND3	ENST00000372991	1	0.520408761	CCND3	HGNC:1585
SLC20A1	ENST00000272542	1	0.520356457	SLC20A1	HGNC:10946
AREL1	ENST00000356357	1	0.520301101	AREL1	HGNC:20363
PAICS	ENST00000512576	1	0.520289269	PAICS	HGNC:8587
MAN1A2	ENST00000356554	1	0.520249792	MAN1A2	HGNC:6822
SFXN3	ENST00000393459	1	0.520227605	SFXN3	HGNC:16087
ID4	ENST00000378700	1	0.520215978	ID4	HGNC:5363
CTNNBIP1	ENST00000377256	1	0.520198887	CTNNBIP1	HGNC:16913
RIMS3	ENST00000372683	1	0.520196104	RIMS3	HGNC:21292
SLC10A7	ENST00000335472	1	0.52017044	SLC10A7	HGNC:23088
FZD9	ENST00000344575	1	0.52015335	FZD9	HGNC:4047
MYCBP	ENST00000397572	1	0.520151786	MYCBP	HGNC:7554
AQP2	ENST00000199280	1	0.520131807	AQP2	HGNC:634
SLC35D1	ENST00000235345	1	0.52012762	SLC35D1	HGNC:20800
PPP1R14C	ENST00000361131	1	0.520110657	PPP1R14C	HGNC:14952
SRPK3	ENST00000370101	1	0.520098682	SRPK3	HGNC:11402
DHX16	ENST00000376442	1	0.520038053	DHX16	HGNC:2739
GRM3	ENST00000361669	1	0.519988865	GRM3	HGNC:4595
CXCL12	ENST00000374429	1	0.519972366	CXCL12	HGNC:10672
NADK2	ENST00000381937	1	0.519971988	NADK2	HGNC:26404
SNX4	ENST00000251775	1	0.519957423	SNX4	HGNC:11175
MAPK13	ENST00000211287	1	0.519944068	MAPK13	HGNC:6875
ABLIM3	ENST00000506113	1	0.519937622	ABLIM3	HGNC:29132
ME3	ENST00000543262	1	0.519916996	ME3	HGNC:6985
BET1	ENST00000222547	1	0.519893228	BET1	HGNC:14562
AMFR	ENST00000290649	1	0.519890672	AMFR	HGNC:463
ERLIN1	ENST00000407654	1	0.519848963	ERLIN1	HGNC:16947
TMED5	ENST00000370282	1	0.519842773	TMED5	HGNC:24251
POLE4	ENST00000483063	1	0.519821047	POLE4	HGNC:18755
BMP5	ENST00000370830	1	0.519814806	BMP5	HGNC:1072
ZNF250	ENST00000292579	1	0.519767165	ZNF250	HGNC:13044
PHLDA3	ENST00000367309	1	0.51975267	PHLDA3	HGNC:8934
ALDH6A1	ENST00000553458	1	0.519709995	ALDH6A1	HGNC:7179
SH2D1A	ENST00000371139	1	0.519707379	SH2D1A	HGNC:10820
ATP5E	ENST00000395659	1	0.519707149	ATP5F1E	HGNC:838
HERC4	ENST00000395198	1	0.519700456	HERC4	HGNC:24521
SLC35B2	ENST00000393812	1	0.519684942	SLC35B2	HGNC:16872
TENM3	ENST00000511685	1	0.519684769	TENM3	HGNC:29944
FAM92A1	ENST00000518322	1	0.519676079	CIBAR1	HGNC:30452
CLVS1	ENST00000325897	1	0.51966199	CLVS1	HGNC:23139
ABL2	ENST00000502732	1	0.51966153	ABL2	HGNC:77
TMEM110	ENST00000355083	1	0.519599067	STIMATE	HGNC:30526
APEX1	ENST00000398030	1	0.519593993	APEX1	HGNC:587
LIMK1	ENST00000336180	1	0.519572322	LIMK1	HGNC:6613
CDYL	ENST00000328908	1	0.519456988	CDYL	HGNC:1811
CRYBB2	ENST00000398215	1	0.51944485	CRYBB2	HGNC:2398
RNF170	ENST00000527424	1	0.519397947	RNF170	HGNC:25358
INTS4	ENST00000534064	1	0.519347846	INTS4	HGNC:25048
ONECUT2	ENST00000491143	1	0.519341288	ONECUT2	HGNC:8139
MAPK12	ENST00000215659	1	0.519296253	MAPK12	HGNC:6874
LGALSL	ENST00000238875	1	0.519265507	LGALSL	HGNC:25012
TMEM222	ENST00000374076	1	0.519227371	TMEM222	HGNC:25363
PRNP	ENST00000379440	1	0.51921627	PRNP	HGNC:9449
SLC7A1	ENST00000380752	1	0.519195903	SLC7A1	HGNC:11057
PANK4	ENST00000378466	1	0.519187511	PANK4	HGNC:19366
ACAP3	ENST00000354700	1	0.519147965	ACAP3	HGNC:16754
RAD1	ENST00000341754	1	0.519145653	RAD1	HGNC:9806
RANBP10	ENST00000317506	1	0.519025981	RANBP10	HGNC:29285
ZNF436	ENST00000374608	1	0.519010504	ZNF436	HGNC:20814
BNIP3L	ENST00000380629	1	0.51899073	BNIP3L	HGNC:1085
NLGN4X	ENST00000381092	1	0.518989018	NLGN4X	HGNC:14287
SHANK1	ENST00000293441	1	0.518950553	SHANK1	HGNC:15474
HIRA	ENST00000263208	1	0.518918359	HIRA	HGNC:4916
PIK3CB	ENST00000477593	1	0.518899018	PIK3CB	HGNC:8976
CHD1	ENST00000284049	1	0.518887696	CHD1	HGNC:1915
SZRD1	ENST00000401088	1	0.518885016	SZRD1	HGNC:30232
NHLH2	ENST00000369506	1	0.518866414	NHLH2	HGNC:7818
KLC2	ENST00000316924	1	0.518858483	KLC2	HGNC:20716
SAMD4A	ENST00000392067	1	0.51885268	SAMD4A	HGNC:23023
PTPRF	ENST00000359947	1	0.518793161	PTPRF	HGNC:9670
CCNG1	ENST00000340828	1	0.518789278	CCNG1	HGNC:1592
TGFB1I1	ENST00000394863	1	0.518786806	TGFB1I1	HGNC:11767
OSBPL8	ENST00000261183	1	0.518772146	OSBPL8	HGNC:16396
RFC4	ENST00000296273	1	0.518743825	RFC4	HGNC:9972
PAX9	ENST00000361487	1	0.518649532	PAX9	HGNC:8623
AMBRA1	ENST00000458649	1	0.518633104	AMBRA1	HGNC:25990
GSTM3	ENST00000361066	1	0.518590264	GSTM3	HGNC:4635
KIF21A	ENST00000361418	1	0.518582011	KIF21A	HGNC:19349
CIB3	ENST00000269878	1	0.518524712	CIB3	HGNC:24580
PXDN	ENST00000252804	1	0.518497399	PXDN	HGNC:14966
PPP4R1	ENST00000400556	1	0.518487709	PPP4R1	HGNC:9320
PPIP5K1	ENST00000420765	1	0.518485072	PPIP5K1	HGNC:29023
ZER1	ENST00000291900	1	0.518470038	ZER1	HGNC:30960
ZNF384	ENST00000361959	1	0.51845537	ZNF384	HGNC:11955
DYRK1A	ENST00000339659	1	0.518454277	DYRK1A	HGNC:3091
CCDC85C	ENST00000380243	1	0.518454068	CCDC85C	HGNC:35459
RFXANK	ENST00000407360	1	0.518427396	RFXANK	HGNC:9987
TLL1	ENST00000061240	1	0.518411953	TLL1	HGNC:11843
NEK8	ENST00000268766	1	0.518380387	NEK8	HGNC:13387
POLR3H	ENST00000407461	1	0.518379003	POLR3H	HGNC:30349
MAST1	ENST00000251472	1	0.518354683	MAST1	HGNC:19034
DAPK2	ENST00000457488	1	0.518353853	DAPK2	HGNC:2675
RBM12	ENST00000374104	1	0.518257604	RBM12	HGNC:9898
KLHDC2	ENST00000298307	1	0.51815604	KLHDC2	HGNC:20231
BCL2	ENST00000398117	1	0.518152009	BCL2	HGNC:990
RAB7L1	ENST00000414729	1	0.518094266	RAB29	HGNC:9789
STOML2	ENST00000356493	1	0.518089516	STOML2	HGNC:14559
KATNAL1	ENST00000380617	2	0.518062939	KATNAL1	HGNC:28361
GALNT18	ENST00000227756	2	0.518049448	GALNT18	HGNC:30488
CDV3	ENST00000264993	2	0.518046304	CDV3	HGNC:26928
GALNT10	ENST00000297107	2	0.51804204	GALNT10	HGNC:19873
KLHL6	ENST00000341319	2	0.518028788	KLHL6	HGNC:18653
SFRP1	ENST00000220772	2	0.518026473	SFRP1	HGNC:10776
KLHL32	ENST00000369261	2	0.518015518	KLHL32	HGNC:21221
SOX6	ENST00000528429	2	0.517961651	SOX6	HGNC:16421
DOK5	ENST00000262593	2	0.517872386	DOK5	HGNC:16173
OAZ2	ENST00000326005	2	0.517813996	OAZ2	HGNC:8096
PDP1	ENST00000517764	2	0.517795072	PDP1	HGNC:9279
LRRC8C	ENST00000370454	2	0.517784509	LRRC8C	HGNC:25075
PSMB4	ENST00000290541	2	0.517763857	PSMB4	HGNC:9541
KCTD16	ENST00000507359	2	0.517763802	KCTD16	HGNC:29244
ANO3	ENST00000256737	2	0.517706942	ANO3	HGNC:14004
NDST2	ENST00000309979	2	0.517687012	NDST2	HGNC:7681
KIF21B	ENST00000422435	2	0.517624973	KIF21B	HGNC:29442
B3GALT6	ENST00000379198	2	0.517611966	B3GALT6	HGNC:17978
FAM19A4	ENST00000295569	2	0.517611494	TAFA4	HGNC:21591
EXOC4	ENST00000253861	2	0.517607362	EXOC4	HGNC:30389
ZNF532	ENST00000591808	2	0.517548664	ZNF532	HGNC:30940
BAIAP2	ENST00000321300	2	0.517543697	BAIAP2	HGNC:947
RPIA	ENST00000283646	2	0.517465914	RPIA	HGNC:10297
TSPAN14	ENST00000372156	2	0.517455205	TSPAN14	HGNC:23303
CABP5	ENST00000293255	2	0.517451778	CABP5	HGNC:13714
SDF2L1	ENST00000248958	2	0.517446919	SDF2L1	HGNC:10676
CHST1	ENST00000308064	2	0.517442335	CHST1	HGNC:1969
PIM2	ENST00000376509	2	0.51740064	PIM2	HGNC:8987
KLHL21	ENST00000377658	2	0.517384515	KLHL21	HGNC:29041
INPPL1	ENST00000298229	2	0.517377325	INPPL1	HGNC:6080
FAM195B	ENST00000574190	2	0.517334948	MCRIP1	HGNC:28007
E2F5	ENST00000416274	2	0.517320323	E2F5	HGNC:3119
DHPS	ENST00000210060	2	0.517307834	DHPS	HGNC:2869
STRN	ENST00000263918	2	0.517244207	STRN	HGNC:11424
CIAO1	ENST00000488633	2	0.517189727	CIAO1	HGNC:14280
ARL15	ENST00000504924	2	0.517143484	ARL15	HGNC:25945
GTF2F1	ENST00000394456	2	0.517140081	GTF2F1	HGNC:4652
CCDC94	ENST00000262962	2	0.517065399	YJU2	HGNC:25518
RCN3	ENST00000270645	2	0.517048317	RCN3	HGNC:21145
NSFL1C	ENST00000216879	2	0.517032483	NSFL1C	HGNC:15912
SLC25A17	ENST00000435456	2	0.517020435	SLC25A17	HGNC:10987
SLC12A7	ENST00000264930	2	0.516986512	SLC12A7	HGNC:10915
DNAH8	ENST00000359357	2	0.516974293	DNAH8	HGNC:2952
IKZF3	ENST00000346872	2	0.516948581	IKZF3	HGNC:13178
HSPA6	ENST00000309758	2	0.516944059	HSPA6	HGNC:5239
CACNA2D2	ENST00000479441	2	0.516920247	CACNA2D2	HGNC:1400
DNAJB6	ENST00000262177	2	0.516916272	DNAJB6	HGNC:14888
CTNND2	ENST00000304623	2	0.51690868	CTNND2	HGNC:2516
CASP3	ENST00000523916	2	0.516905831	CASP3	HGNC:1504
STMN4	ENST00000265770	2	0.516870544	STMN4	HGNC:16078
KCTD8	ENST00000360029	2	0.516869855	KCTD8	HGNC:22394
ZBTB5	ENST00000307750	2	0.516862088	ZBTB5	HGNC:23836
JOSD2	ENST00000598418	2	0.516826292	JOSD2	HGNC:28853
NIPA1	ENST00000337435	2	0.516793784	NIPA1	HGNC:17043
TRIM62	ENST00000291416	2	0.516785242	TRIM62	HGNC:25574
FMOD	ENST00000354955	2	0.516783396	FMOD	HGNC:3774
PLEKHJ1	ENST00000326631	2	0.516753427	PLEKHJ1	HGNC:18211
FHL3	ENST00000373016	2	0.516730447	FHL3	HGNC:3704
FBN2	ENST00000508053	2	0.516674996	FBN2	HGNC:3604
NPEPL1	ENST00000356091	2	0.516656609	NPEPL1	HGNC:16244
ZDHHC16	ENST00000393760	2	0.516637533	ZDHHC16	HGNC:20714
TMEFF1	ENST00000374879	2	0.516625049	TMEFF1	HGNC:11866
DGCR8	ENST00000351989	2	0.516615474	DGCR8	HGNC:2847
BDH2	ENST00000296424	2	0.516598543	BDH2	HGNC:32389
OTX2	ENST00000555006	2	0.516556667	OTX2	HGNC:8522
CLDN4	ENST00000340958	2	0.516549025	CLDN4	HGNC:2046
UCHL1	ENST00000284440	2	0.516539974	UCHL1	HGNC:12513
FBXW5	ENST00000325285	2	0.51647683	FBXW5	HGNC:13613
TAF10	ENST00000299424	2	0.516461323	TAF10	HGNC:11543
ANKRD46	ENST00000520311	2	0.516404158	ANKRD46	HGNC:27229
SLC35A2	ENST00000247138	2	0.516301588	SLC35A2	HGNC:11022
EFNA3	ENST00000368408	2	0.516142199	EFNA3	HGNC:3223
HGD	ENST00000283871	2	0.51609567	HGD	HGNC:4892
ADAMTS6	ENST00000381055	2	0.516075725	ADAMTS6	HGNC:222
OTOF	ENST00000272371	2	0.516016896	OTOF	HGNC:8515
ABCF1	ENST00000326195	2	0.516008387	ABCF1	HGNC:70
CBY1	ENST00000216029	2	0.515991411	CBY1	HGNC:1307
CELA3B	ENST00000337107	2	0.515987179	CELA3B	HGNC:15945
TTC7B	ENST00000328459	2	0.515979224	TTC7B	HGNC:19858
SP8	ENST00000361443	2	0.515966389	SP8	HGNC:19196
YME1L1	ENST00000326799	2	0.515965357	YME1L1	HGNC:12843
JUND	ENST00000252818	2	0.515948111	JUND	HGNC:6206
SULF1	ENST00000402687	2	0.515936015	SULF1	HGNC:20391
PHKG1	ENST00000297373	2	0.515934561	PHKG1	HGNC:8930
PHKG2	ENST00000563588	2	0.515926861	PHKG2	HGNC:8931
WDR92	ENST00000295121	2	0.515845066	DNAAF10	HGNC:25176
KIAA1468	ENST00000398130	2	0.515820797	RELCH	HGNC:29289
S100A1	ENST00000292169	2	0.515816473	S100A1	HGNC:10486
