HGNC ID	Status	Approved symbol	Approved name	Previous symbol
HGNC:48359	Entry Withdrawn	CSPG4P8	chondroitin sulfate proteoglycan 4 pseudogene 8	
HGNC:48360	Approved	CSPG4P9	chondroitin sulfate proteoglycan 4 pseudogene 9	
HGNC:48361	Approved	CSPG4P10	chondroitin sulfate proteoglycan 4 pseudogene 10	
HGNC:48363	Approved	CSPG4P11	chondroitin sulfate proteoglycan 4 pseudogene 11	
HGNC:48362	Approved	CSPG4P12	chondroitin sulfate proteoglycan 4 pseudogene 12	
HGNC:49195	Approved	CSPG4P13	chondroitin sulfate proteoglycan 4 pseudogene 13	
HGNC:2467	Approved	CSPG5	chondroitin sulfate proteoglycan 5	
HGNC:26193	Approved	CSPP1	centrosome and spindle pole associated protein 1	
HGNC:14300	Approved	CSRNP1	cysteine and serine rich nuclear protein 1	AXUD1
HGNC:16006	Approved	CSRNP2	cysteine and serine rich nuclear protein 2	C12orf22
HGNC:16006	Approved	CSRNP2	cysteine and serine rich nuclear protein 2	FAM130A1
HGNC:30729	Approved	CSRNP3	cysteine and serine rich nuclear protein 3	FAM130A2
HGNC:2469	Approved	CSRP1	cysteine and glycine rich protein 1	CYRP
HGNC:55856	Approved	CSRP1-AS1	CSRP1 antisense RNA 1	
HGNC:2470	Approved	CSRP2	cysteine and glycine rich protein 2	
HGNC:2471	Approved	CSRP2P1	CSRP2 pseudogene 1	CSRP2P
HGNC:56524	Approved	CSRP2P2	CSRP2 pseudogene 2	
HGNC:2472	Approved	CSRP3	cysteine and glycine rich protein 3	
HGNC:54183	Approved	CSRP3-AS1	CSRP3 and E2F8 antisense RNA 1	
HGNC:2473	Approved	CST1	cystatin SN	
HGNC:2474	Approved	CST2	cystatin SA	
HGNC:45042	Approved	CST2P1	cystatin SA pseudogene 1	
HGNC:2475	Approved	CST3	cystatin C	
HGNC:2476	Approved	CST4	cystatin S	
HGNC:2477	Approved	CST5	cystatin D	
HGNC:2478	Approved	CST6	cystatin E/M	
HGNC:2479	Approved	CST7	cystatin F	
HGNC:2480	Approved	CST8	cystatin 8	
HGNC:13261	Approved	CST9	cystatin 9	
HGNC:16233	Approved	CST9L	cystatin 9 like	
HGNC:39552	Approved	CST9LP1	cystatin 9-like pseudogene 1	
HGNC:44337	Approved	CST9LP2	cystatin 9-like pseudogene 2	
HGNC:15959	Approved	CST11	cystatin 11	CST8L
HGNC:31920	Approved	CST12P	cystatin 12, pseudogene	
HGNC:44335	Approved	CST13P	cystatin 13, pseudogene	
HGNC:2481	Approved	CSTA	cystatin A	STF1
HGNC:2481	Approved	CSTA	cystatin A	STFA
HGNC:2482	Approved	CSTB	cystatin B	EPM1
HGNC:2482	Approved	CSTB	cystatin B	STFB
HGNC:56380	Approved	CSTBP1	CSTB pseudogene 1	
HGNC:2483	Approved	CSTF1	cleavage stimulation factor subunit 1	
HGNC:2484	Approved	CSTF2	cleavage stimulation factor subunit 2	
HGNC:17086	Approved	CSTF2T	cleavage stimulation factor subunit 2 tau variant	
HGNC:2485	Approved	CSTF3	cleavage stimulation factor subunit 3	
HGNC:27882	Approved	CSTF3-DT	CSTF3 divergent transcript	CSTF3-AS1
HGNC:15958	Approved	CSTL1	cystatin like 1	
HGNC:2486	Approved	CSTP1	cystatin pseudogene 1	
HGNC:2487	Approved	CSTP2	cystatin pseudogene 2	
HGNC:28720	Approved	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	C11orf49
HGNC:33267	Approved	CT45A1	cancer/testis antigen family 45 member A1	
HGNC:28400	Approved	CT45A2	cancer/testis antigen family 45 member A2	
HGNC:33268	Approved	CT45A3	cancer/testis antigen family 45 member A3	CT45A4
HGNC:33270	Approved	CT45A5	cancer/testis antigen family 45 member A5	
HGNC:33271	Approved	CT45A6	cancer/testis antigen family 45 member A6	
HGNC:51260	Approved	CT45A7	cancer/testis antigen family 45 member A7	
HGNC:51261	Approved	CT45A8	cancer/testis antigen family 45 member A8	
HGNC:51262	Approved	CT45A9	cancer/testis antigen family 45 member A9	
HGNC:51263	Approved	CT45A10	cancer/testis antigen family 45 member A10	
HGNC:51336	Approved	CT45A11P	cancer/testis antigen family 45 member A11, pseudogene	
HGNC:33580	Approved	CT45B1P	cancer/testis antigen family 45 member B1, pseudogene	
HGNC:33282	Approved	CT47A1	cancer/testis antigen family 47 member A1	
HGNC:33283	Approved	CT47A2	cancer/testis antigen family 47 member A2	
HGNC:33284	Approved	CT47A3	cancer/testis antigen family 47 member A3	
HGNC:33285	Approved	CT47A4	cancer/testis antigen family 47 member A4	
HGNC:33286	Approved	CT47A5	cancer/testis antigen family 47 member A5	
HGNC:33287	Approved	CT47A6	cancer/testis antigen family 47 member A6	
HGNC:33288	Approved	CT47A7	cancer/testis antigen family 47 member A7	
HGNC:33289	Approved	CT47A8	cancer/testis antigen family 47 member A8	
HGNC:33290	Approved	CT47A9	cancer/testis antigen family 47 member A9	
HGNC:33291	Approved	CT47A10	cancer/testis antigen family 47 member A10	
HGNC:27397	Approved	CT47A11	cancer/testis antigen family 47 member A11	
HGNC:33292	Approved	CT47A12	cancer/testis antigen family 47 member A12	
HGNC:33293	Approved	CT47B1	cancer/testis antigen family 47 member B1	
HGNC:53820	Approved	CT47C1	cancer/testis antigen family 47 member C1	
HGNC:26047	Approved	CT55	cancer/testis antigen 55	CXorf48
HGNC:27286	Approved	CT62	cancer/testis associated 62	
HGNC:54198	Approved	CT66	cancer/testis associated transcript 66	
HGNC:37196	Approved	CT69	cancer/testis associated transcript 69	
HGNC:37195	Approved	CT70	cancer/testis associated transcript 70	
HGNC:37174	Approved	CT75	cancer/testis associated transcript 75	
HGNC:33494	Approved	CT83	cancer/testis antigen 83	CXorf61
HGNC:2489	Entry Withdrawn	CTAA1	cataract, anterior polar 1	
HGNC:2490	Entry Withdrawn	CTAA2	cataract, anterior polar 2	
HGNC:24198	Approved	CTAG1A	cancer/testis antigen 1A	
HGNC:2491	Approved	CTAG1B	cancer/testis antigen 1B	CTAG
HGNC:2491	Approved	CTAG1B	cancer/testis antigen 1B	CTAG1
HGNC:2492	Approved	CTAG2	cancer/testis antigen 2	
HGNC:24346	Approved	CTAGE1	cutaneous T cell lymphoma-associated antigen 1	
HGNC:24348	Approved	CTAGE3P	CTAGE family member 3, pseudogene	CTAGE3
HGNC:24772	Approved	CTAGE4	CTAGE family member 4	
HGNC:28644	Approved	CTAGE6	CTAGE family member 6	CTAGE6P
HGNC:25111	Approved	CTAGE7P	CTAGE family member 7, pseudogene	CTAGEP
HGNC:25111	Approved	CTAGE7P	CTAGE family member 7, pseudogene	CTAGE7
HGNC:37294	Approved	CTAGE8	CTAGE family member 8	
HGNC:37275	Approved	CTAGE9	CTAGE family member 9	
HGNC:37288	Approved	CTAGE10P	CTAGE family member 10, pseudogene	
HGNC:37293	Approved	CTAGE11P	CTAGE family member 11, pseudogene	
HGNC:37297	Approved	CTAGE12P	CTAGE family member 12, pseudogene	
HGNC:37298	Approved	CTAGE13P	CTAGE family member 13, pseudogene	
HGNC:37299	Approved	CTAGE14P	CTAGE family member 14, pseudogene	
HGNC:37295	Approved	CTAGE15	CTAGE family member 15	CTAGE15P
HGNC:41967	Approved	CTAGE16P	CTAGE family member 16, pseudogene	
HGNC:2494	Approved	CTBP1	C-terminal binding protein 1	
HGNC:48337	Approved	CTBP1-AS	CTBP1 antisense RNA	
HGNC:28307	Approved	CTBP1-DT	CTBP1 divergent transcript	C4orf42
HGNC:28307	Approved	CTBP1-DT	CTBP1 divergent transcript	CTBP1-AS1
HGNC:28307	Approved	CTBP1-DT	CTBP1 divergent transcript	CTBP1-AS2
HGNC:28307	Approved	CTBP1-DT	CTBP1 divergent transcript	DDUP
HGNC:2495	Approved	CTBP2	C-terminal binding protein 2	
HGNC:23940	Approved	CTBP2P1	CTBP2 pseudogene 1	
HGNC:45194	Approved	CTBP2P2	CTBP2 pseudogene 2	
HGNC:45195	Approved	CTBP2P3	CTBP2 pseudogene 3	
HGNC:45196	Approved	CTBP2P4	CTBP2 pseudogene 4	
HGNC:45197	Approved	CTBP2P5	CTBP2 pseudogene 5	
HGNC:45198	Approved	CTBP2P6	CTBP2 pseudogene 6	
HGNC:45199	Approved	CTBP2P7	CTBP2 pseudogene 7	
HGNC:45200	Approved	CTBP2P8	CTBP2 pseudogene 8	
HGNC:54511	Approved	CTBP2P9	CTBP2 pseudogene 9	
HGNC:54512	Approved	CTBP2P10	CTBP2 pseudogene 10	
HGNC:54513	Approved	CTBP2P11	CTBP2 pseudogene 11	
HGNC:2496	Approved	CTBS	chitobiase	CTB
HGNC:26169	Approved	CTC1	CST telomere replication complex component 1	C17orf68
HGNC:13723	Approved	CTCF	CCCTC-binding factor	
HGNC:55409	Approved	CTCF-DT	CTCF divergent transcript	
HGNC:16234	Approved	CTCFL	CCCTC-binding factor like	
HGNC:2497	Entry Withdrawn	CTD	Coats disease	
HGNC:19085	Approved	CTDNEP1	CTD nuclear envelope phosphatase 1	DULLARD
HGNC:56481	Approved	CTDNEP1P1	CTDNEP1 pseudogene 1	
HGNC:56482	Approved	CTDNEP1P2	CTDNEP1 pseudogene 2	
HGNC:2498	Approved	CTDP1	CTD phosphatase subunit 1	
HGNC:26370	Approved	CTDP1-DT	CTDP1 divergent transcript	
HGNC:21614	Approved	CTDSP1	CTD small phosphatase 1	
HGNC:17077	Approved	CTDSP2	CTD small phosphatase 2	
HGNC:16890	Approved	CTDSPL	CTD small phosphatase like	C3orf8
HGNC:26936	Approved	CTDSPL2	CTD small phosphatase like 2	
HGNC:55415	Approved	CTDSPL2-DT	CTDSPL2 divergent transcript	
HGNC:55031	Approved	CTDSPL2P1	CTDSPL2 pseudogene 1	
HGNC:55042	Approved	CTDSPL2P2	CTDSPL2 pseudogene 2	
HGNC:2499	Approved	CTF1	cardiotrophin 1	
HGNC:33173	Approved	CTF2P	cardiotrophin 2, pseudogene	
HGNC:23461	Entry Withdrawn	CTGLF8P	centaurin, gamma-like family, member 8 pseudogene	
HGNC:2501	Approved	CTH	cystathionine gamma-lyase	
HGNC:2502	Entry Withdrawn	CTHM	cono-truncal heart malformation	
HGNC:18831	Approved	CTHRC1	collagen triple helix repeat containing 1	
HGNC:50463	Approved	CTHRC1P1	collagen triple helix repeat containing 1 pseudogene 1	
HGNC:23925	Approved	CTIF	cap binding complex dependent translation initiation factor	KIAA0427
HGNC:2505	Approved	CTLA4	cytotoxic T-lymphocyte associated protein 4	CELIAC3
HGNC:2505	Approved	CTLA4	cytotoxic T-lymphocyte associated protein 4	IDDM12
HGNC:2509	Approved	CTNNA1	catenin alpha 1	
HGNC:55535	Approved	CTNNA1-AS1	CTNNA1 antisense RNA 1	
HGNC:2513	Approved	CTNNA1P1	catenin alpha 1 pseudogene 1	CTNNAP1
HGNC:2510	Approved	CTNNA2	catenin alpha 2	
HGNC:40165	Approved	CTNNA2-AS1	CTNNA2 antisense RNA 1	
HGNC:2511	Approved	CTNNA3	catenin alpha 3	
HGNC:2512	Approved	CTNNAL1	catenin alpha like 1	
HGNC:2514	Approved	CTNNB1	catenin beta 1	CTNNB
HGNC:16913	Approved	CTNNBIP1	catenin beta interacting protein 1	
HGNC:15879	Approved	CTNNBL1	catenin beta like 1	C20orf33
HGNC:54948	Approved	CTNNBL1P1	CTNNBL1 pseudogene 1	
HGNC:2515	Approved	CTNND1	catenin delta 1	CTNND
HGNC:2516	Approved	CTNND2	catenin delta 2	
HGNC:2518	Approved	CTNS	cystinosin, lysosomal cystine transporter	
HGNC:56090	Approved	CTNS-AS1	CTNS antisense RNA 1	
HGNC:30997	Entry Withdrawn	CTPL1	cataract, pulverulent (autosomal recessive, early-onset)	
HGNC:2519	Approved	CTPS1	CTP synthase 1	CTPS
HGNC:2520	Approved	CTPS2	CTP synthase 2	
HGNC:16850	Approved	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	SH2BP1
HGNC:2521	Approved	CTRB1	chymotrypsinogen B1	CTRB
HGNC:2522	Approved	CTRB2	chymotrypsinogen B2	
HGNC:2523	Approved	CTRC	chymotrypsin C	
HGNC:2524	Approved	CTRL	chymotrypsin like	
HGNC:9251	Approved	CTSA	cathepsin A	GSL
HGNC:9251	Approved	CTSA	cathepsin A	PPGB
HGNC:2527	Approved	CTSB	cathepsin B	
HGNC:2528	Approved	CTSC	cathepsin C	PLS
HGNC:2528	Approved	CTSC	cathepsin C	PALS
HGNC:2529	Approved	CTSD	cathepsin D	CPSD
HGNC:2530	Approved	CTSE	cathepsin E	
HGNC:2531	Approved	CTSF	cathepsin F	
HGNC:2532	Approved	CTSG	cathepsin G	
HGNC:2535	Approved	CTSH	cathepsin H	CPSB
HGNC:2536	Approved	CTSK	cathepsin K	CTSO2
HGNC:2536	Approved	CTSK	cathepsin K	CTSO
HGNC:2536	Approved	CTSK	cathepsin K	PYCD
HGNC:2537	Approved	CTSL	cathepsin L	CTSL1
HGNC:33132	Approved	CTSL3P	cathepsin L family member 3, pseudogene	CTSL3
HGNC:2539	Approved	CTSLP1	cathepsin L pseudogene 1	CTSLL
HGNC:2539	Approved	CTSLP1	cathepsin L pseudogene 1	CTSLL1
HGNC:2539	Approved	CTSLP1	cathepsin L pseudogene 1	CTSL1P1
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSLL2
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSL1P2
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSLP5
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSLL5
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSL1P5
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSLP7
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSLL7
HGNC:2540	Approved	CTSLP2	cathepsin L pseudogene 2	CTSL1P7
HGNC:2541	Approved	CTSLP3	cathepsin L pseudogene 3	CTSLL3
HGNC:2541	Approved	CTSLP3	cathepsin L pseudogene 3	CTSL1P3
HGNC:23645	Approved	CTSLP4	cathepsin L pseudogene 4	CTSLL4
HGNC:23645	Approved	CTSLP4	cathepsin L pseudogene 4	CTSL1P4
HGNC:23611	Approved	CTSLP6	cathepsin L pseudogene 6	CTSLL6
HGNC:23611	Approved	CTSLP6	cathepsin L pseudogene 6	CTSL1P6
HGNC:39084	Approved	CTSLP8	cathepsin L pseudogene 8	CTSL1P8
HGNC:2542	Approved	CTSO	cathepsin O	CTSO1
HGNC:2545	Approved	CTSS	cathepsin S	
HGNC:2538	Approved	CTSV	cathepsin V	CTSL2
HGNC:2546	Approved	CTSW	cathepsin W	
HGNC:2547	Approved	CTSZ	cathepsin Z	
HGNC:3338	Approved	CTTN	cortactin	EMS1
HGNC:55592	Approved	CTTN-DT	CTTN divergent transcript	
HGNC:15679	Approved	CTTNBP2	cortactin binding protein 2	CORTBP2
HGNC:15679	Approved	CTTNBP2	cortactin binding protein 2	C7orf8
HGNC:25330	Approved	CTTNBP2NL	CTTNBP2 N-terminal like	
HGNC:29590	Approved	CTU1	cytosolic thiouridylase subunit 1	ATPBD3
HGNC:28005	Approved	CTU2	cytosolic thiouridylase subunit 2	C16orf84
HGNC:31108	Approved	CTXN1	cortexin 1	
HGNC:31109	Approved	CTXN2	cortexin 2	
HGNC:55426	Approved	CTXN2-AS1	CTXN2 antisense RNA 1	
HGNC:31110	Approved	CTXN3	cortexin 3	
HGNC:50507	Approved	CTXND1	cortexin domain containing 1	LINC01314
HGNC:53440	Approved	CTXND2	cortexin domain containing 2	
HGNC:2548	Approved	CUBN	cubilin	MGA1
HGNC:44983	Approved	CUBNP1	cubilin pseudogene 1	
HGNC:44984	Approved	CUBNP2	cubilin pseudogene 2	
HGNC:44985	Approved	CUBNP3	cubilin pseudogene 3	
HGNC:31350	Approved	CUEDC1	CUE domain containing 1	
HGNC:28352	Approved	CUEDC2	CUE domain containing 2	C10orf66
HGNC:2551	Approved	CUL1	cullin 1	
HGNC:49567	Approved	CUL1P1	cullin 1 pseudogene 1	
HGNC:2552	Approved	CUL2	cullin 2	
HGNC:2553	Approved	CUL3	cullin 3	
HGNC:2554	Approved	CUL4A	cullin 4A	
HGNC:44027	Approved	CUL4AP1	cullin 4A pseudogene 1	
HGNC:2555	Approved	CUL4B	cullin 4B	
HGNC:2556	Approved	CUL5	cullin 5	
HGNC:21024	Approved	CUL7	cullin 7	KIAA0076
HGNC:15982	Approved	CUL9	cullin 9	
HGNC:54490	Approved	CUPIN1P	cupin superfamily member 1, pseudogene	
HGNC:21101	Approved	CUTA	cutA divalent cation tolerance homolog	C6orf82
HGNC:21101	Approved	CUTA	cutA divalent cation tolerance homolog	ACHAP
HGNC:27367	Approved	CUTALP	cutA divalent cation tolerance like, pseudogene	PSMD5-AS1
HGNC:24271	Approved	CUTC	cutC copper transporter	
HGNC:2557	Approved	CUX1	cut like homeobox 1	CUTL1
HGNC:19347	Approved	CUX2	cut like homeobox 2	CUTL2
HGNC:33694	Approved	CUX2P1	cut like homeobox 2 pseudogene 1	
HGNC:33695	Approved	CUX2P2	cut like homeobox 2 pseudogene 2	
HGNC:17937	Approved	CUZD1	CUB and zona pellucida like domains 1	
HGNC:26939	Approved	CWC15	CWC15 spliceosome associated protein homolog	
HGNC:29322	Approved	CWC22	CWC22 spliceosome associated protein homolog	
HGNC:25989	Approved	CWC25	CWC25 spliceosome associated protein homolog	CCDC49
HGNC:10664	Approved	CWC27	CWC27 spliceosome associated cyclophilin	SDCCAG10
HGNC:25613	Approved	CWF19L1	CWF19 like cell cycle control factor 1	
HGNC:26508	Approved	CWF19L2	CWF19 like cell cycle control factor 2	
HGNC:26133	Approved	CWH43	cell wall biogenesis 43 C-terminal homolog	
HGNC:10647	Approved	CX3CL1	C-X3-C motif chemokine ligand 1	SCYD1
HGNC:2558	Approved	CX3CR1	C-X3-C motif chemokine receptor 1	GPR13
HGNC:2558	Approved	CX3CR1	C-X3-C motif chemokine receptor 1	CMKBRL1
HGNC:2559	Approved	CXADR	CXADR Ig-like cell adhesion molecule	
HGNC:23770	Approved	CXADRP1	CXADR pseudogene 1	
HGNC:33973	Approved	CXADRP2	CXADR pseudogene 2	
HGNC:33974	Approved	CXADRP3	CXADR pseudogene 3	
HGNC:2560	Entry Withdrawn	CXB3S	coxsackie virus B3 sensitivity	
HGNC:4602	Approved	CXCL1	C-X-C motif chemokine ligand 1	MGSA
HGNC:4602	Approved	CXCL1	C-X-C motif chemokine ligand 1	GRO1
HGNC:4602	Approved	CXCL1	C-X-C motif chemokine ligand 1	FSP
HGNC:10641	Approved	CXCL1P1	C-X-C motif chemokine ligand 1 pseudogene 1	SCYB1P
HGNC:10641	Approved	CXCL1P1	C-X-C motif chemokine ligand 1 pseudogene 1	CXCL1P
HGNC:4603	Approved	CXCL2	C-X-C motif chemokine ligand 2	GRO2
HGNC:4604	Approved	CXCL3	C-X-C motif chemokine ligand 3	GRO3
HGNC:10642	Approved	CXCL5	C-X-C motif chemokine ligand 5	SCYB5
HGNC:10643	Approved	CXCL6	C-X-C motif chemokine ligand 6	SCYB6
HGNC:6025	Approved	CXCL8	C-X-C motif chemokine ligand 8	IL8
HGNC:7098	Approved	CXCL9	C-X-C motif chemokine ligand 9	CMK
HGNC:7098	Approved	CXCL9	C-X-C motif chemokine ligand 9	MIG
HGNC:10637	Approved	CXCL10	C-X-C motif chemokine ligand 10	INP10
HGNC:10637	Approved	CXCL10	C-X-C motif chemokine ligand 10	SCYB10
HGNC:10638	Approved	CXCL11	C-X-C motif chemokine ligand 11	SCYB9B
HGNC:10638	Approved	CXCL11	C-X-C motif chemokine ligand 11	SCYB11
HGNC:10672	Approved	CXCL12	C-X-C motif chemokine ligand 12	SDF1A
HGNC:10672	Approved	CXCL12	C-X-C motif chemokine ligand 12	SDF1B
HGNC:10672	Approved	CXCL12	C-X-C motif chemokine ligand 12	SDF1
HGNC:10639	Approved	CXCL13	C-X-C motif chemokine ligand 13	SCYB13
HGNC:10640	Approved	CXCL14	C-X-C motif chemokine ligand 14	SCYB14
HGNC:16642	Approved	CXCL16	C-X-C motif chemokine ligand 16	
HGNC:19232	Approved	CXCL17	C-X-C motif chemokine ligand 17	
HGNC:6026	Approved	CXCR1	C-X-C motif chemokine receptor 1	CMKAR1
HGNC:6026	Approved	CXCR1	C-X-C motif chemokine receptor 1	IL8RA
HGNC:6027	Approved	CXCR2	C-X-C motif chemokine receptor 2	IL8RB
HGNC:6028	Approved	CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1	IL8RBP
HGNC:6028	Approved	CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1	CXCR2P
HGNC:4540	Approved	CXCR3	C-X-C motif chemokine receptor 3	GPR9
HGNC:2561	Approved	CXCR4	C-X-C motif chemokine receptor 4	
HGNC:1060	Approved	CXCR5	C-X-C motif chemokine receptor 5	BLR1
HGNC:16647	Approved	CXCR6	C-X-C motif chemokine receptor 6	
HGNC:28589	Approved	CXorf38	chromosome X open reading frame 38	
HGNC:30891	Approved	CXorf49	chromosome X open reading frame 49	
HGNC:34229	Approved	CXorf49B	chromosome X open reading frame 49B	
HGNC:30533	Approved	CXorf51A	chromosome X open reading frame 51A	CXorf51
HGNC:42787	Approved	CXorf51B	chromosome X open reading frame 51B	
HGNC:26356	Approved	CXorf58	chromosome X open reading frame 58	
HGNC:33713	Approved	CXorf65	chromosome X open reading frame 65	
HGNC:33743	Approved	CXorf66	chromosome X open reading frame 66	
HGNC:24343	Approved	CXXC1	CXXC finger protein 1	
HGNC:27864	Approved	CXXC1P1	CXXC finger protein 1 pseudogene 1	CXorf25
HGNC:27864	Approved	CXXC1P1	CXXC finger protein 1 pseudogene 1	NCRNA00236
HGNC:24593	Approved	CXXC4	CXXC finger protein 4	
HGNC:41054	Approved	CXXC4-AS1	CXXC4 antisense RNA 1	
HGNC:26943	Approved	CXXC5	CXXC finger protein 5	
HGNC:53009	Approved	CXXC5-AS1	CXXC5 antisense RNA 1	
HGNC:2570	Approved	CYB5A	cytochrome b5 type A	CYB5
HGNC:2572	Entry Withdrawn	CYB5AP1	cytochrome b5 type A pseudogene 1	CYB5P1
HGNC:2573	Approved	CYB5AP2	cytochrome b5 type A pseudogene 2	CYB5P2
HGNC:2574	Approved	CYB5AP3	cytochrome b5 type A pseudogene 3	CYB5P3
HGNC:2575	Approved	CYB5AP4	cytochrome b5 type A pseudogene 4	CYB5P4
HGNC:2576	Approved	CYB5AP5	cytochrome b5 type A pseudogene 5	CYB5P5
HGNC:24374	Approved	CYB5B	cytochrome b5 type B	
HGNC:26516	Approved	CYB5D1	cytochrome b5 domain containing 1	
HGNC:28471	Approved	CYB5D2	cytochrome b5 domain containing 2	
HGNC:13397	Approved	CYB5R1	cytochrome b5 reductase 1	NQO3A2
HGNC:24376	Approved	CYB5R2	cytochrome b5 reductase 2	
HGNC:2873	Approved	CYB5R3	cytochrome b5 reductase 3	DIA1
HGNC:20147	Approved	CYB5R4	cytochrome b5 reductase 4	NCB5OR
HGNC:32220	Approved	CYB5RL	cytochrome b5 reductase like	
HGNC:2571	Approved	CYB561	cytochrome b561	
HGNC:23014	Approved	CYB561A3	cytochrome b561 family member A3	CYBASC3
HGNC:26804	Approved	CYB561D1	cytochrome b561 family member D1	
HGNC:30253	Approved	CYB561D2	cytochrome b561 family member D2	
HGNC:2577	Approved	CYBA	cytochrome b-245 alpha chain	
HGNC:2578	Approved	CYBB	cytochrome b-245 beta chain	CGD
HGNC:28672	Approved	CYBC1	cytochrome b-245 chaperone 1	C17orf62
HGNC:20797	Approved	CYBRD1	cytochrome b reductase 1	
HGNC:2579	Approved	CYC1	cytochrome c1	
HGNC:19986	Approved	CYCS	cytochrome c, somatic	
HGNC:20095	Approved	CYCSP1	CYCS pseudogene 1	
HGNC:24410	Approved	CYCSP2	CYCS pseudogene 2	
HGNC:24395	Approved	CYCSP3	CYCS pseudogene 3	
HGNC:24413	Approved	CYCSP4	CYCS pseudogene 4	
HGNC:24416	Approved	CYCSP5	CYCS pseudogene 5	
HGNC:24421	Approved	CYCSP6	CYCS pseudogene 6	
HGNC:24422	Approved	CYCSP7	CYCS pseudogene 7	
HGNC:24423	Approved	CYCSP8	CYCS pseudogene 8	
HGNC:24384	Approved	CYCSP10	CYCS pseudogene 10	
HGNC:24385	Approved	CYCSP11	CYCS pseudogene 11	
HGNC:24386	Approved	CYCSP12	CYCS pseudogene 12	CYCSP13
HGNC:24388	Approved	CYCSP14	CYCS pseudogene 14	
HGNC:24389	Approved	CYCSP16	CYCS pseudogene 16	
HGNC:24390	Approved	CYCSP17	CYCS pseudogene 17	
HGNC:24391	Approved	CYCSP18	CYCS pseudogene 18	
HGNC:24392	Approved	CYCSP19	CYCS pseudogene 19	
HGNC:24394	Approved	CYCSP20	CYCS pseudogene 20	
HGNC:24396	Approved	CYCSP22	CYCS pseudogene 22	
HGNC:24397	Approved	CYCSP23	CYCS pseudogene 23	
HGNC:24398	Approved	CYCSP24	CYCS pseudogene 24	
HGNC:24399	Approved	CYCSP25	CYCS pseudogene 25	
HGNC:24400	Approved	CYCSP26	CYCS pseudogene 26	
HGNC:24401	Approved	CYCSP27	CYCS pseudogene 27	
HGNC:24402	Approved	CYCSP28	CYCS pseudogene 28	
HGNC:24403	Approved	CYCSP29	CYCS pseudogene 29	
HGNC:24405	Approved	CYCSP30	CYCS pseudogene 30	
HGNC:24406	Approved	CYCSP32	CYCS pseudogene 32	
HGNC:24407	Approved	CYCSP33	CYCS pseudogene 33	
HGNC:24408	Approved	CYCSP34	CYCS pseudogene 34	
HGNC:24409	Approved	CYCSP35	CYCS pseudogene 35	
HGNC:24411	Approved	CYCSP38	CYCS pseudogene 38	
HGNC:24412	Approved	CYCSP39	CYCS pseudogene 39	
HGNC:24414	Approved	CYCSP40	CYCS pseudogene 40	
HGNC:2580	Approved	CYCSP41	CYCS pseudogene 41	CYC1LP4
HGNC:2581	Approved	CYCSP42	CYCS pseudogene 42	CYC1LP5
HGNC:24417	Approved	CYCSP43	CYCS pseudogene 43	
HGNC:24418	Approved	CYCSP44	CYCS pseudogene 44	
HGNC:24419	Approved	CYCSP45	CYCS pseudogene 45	
HGNC:23941	Approved	CYCSP46	CYCS pseudogene 46	
HGNC:23942	Approved	CYCSP48	CYCS pseudogene 48	
HGNC:23943	Approved	CYCSP49	CYCS pseudogene 49	CYCSP54
HGNC:24383	Approved	CYCSP51	CYCS pseudogene 51	
HGNC:24393	Approved	CYCSP52	CYCS pseudogene 52	
HGNC:24404	Approved	CYCSP53	CYCS pseudogene 53	
HGNC:21252	Approved	CYCSP55	CYCS pseudogene 55	CYCSL1
HGNC:56573	Approved	CYCSP56	CYCS pseudogene 56	
HGNC:24424	Approved	CYCTP	cytochrome c, testis, pseudogene	
HGNC:13759	Approved	CYFIP1	cytoplasmic FMR1 interacting protein 1	
HGNC:13760	Approved	CYFIP2	cytoplasmic FMR1 interacting protein 2	
HGNC:16505	Approved	CYGB	cytoglobin	
HGNC:2582	Approved	CYLC1	cylicin 1	
HGNC:2583	Approved	CYLC2	cylicin 2	
HGNC:2584	Approved	CYLD	CYLD lysine 63 deubiquitinase	CYLD1
HGNC:55352	Approved	CYLD-AS1	CYLD antisense RNA 1	
HGNC:56848	Approved	CYLD-AS2	CYLD antisense RNA 2	
HGNC:2587	Entry Withdrawn	CYMD	cystoid macular dystrophy	
HGNC:2588	Approved	CYMP	chymosin, pseudogene	
HGNC:52509	Approved	CYMP-AS1	CYMP antisense RNA 1	
HGNC:2595	Approved	CYP1A1	cytochrome P450 family 1 subfamily A member 1	CYP1
HGNC:2596	Approved	CYP1A2	cytochrome P450 family 1 subfamily A member 2	
HGNC:2597	Approved	CYP1B1	cytochrome P450 family 1 subfamily B member 1	GLC3A
