gene	transcript	UniProt_id	mean_am_pathogenicity	mean_am_pathogenicity_bin	exp_lof	mean_phylop	mean_phylop_bin	oe_lof_upper	oe_lof_upper_bin	loeuf_low_powered
STK40	ENST00000373132	Q8N2I9	0.592642613	0	20.877	2.585202217	2	0.227	0	FALSE
ANKH	ENST00000284268	Q9HCJ1	0.592534662	0	21.054	1.123664021	6	0.499	2	FALSE
ZMAT4	ENST00000297737	Q9H898	0.59236599	0	12.522	1.812558055	4	0.731	3	FALSE
KCNJ9	ENST00000368088	Q92806	0.592345816	0	12.544	1.215318203	5	0.618	2	FALSE
SLC6A7	ENST00000230671	Q99884	0.592327361	0	32.876	1.912638903	3	0.884	4	FALSE
ATP2B3	ENST00000263519	Q16720	0.592272883	0	34.854	2.522528648	2	0.222	0	FALSE
MAP2K3	ENST00000342679	P46734	0.592226503	0	17.87	2.186171532	3	0.663	3	FALSE
SMURF1	ENST00000361125	Q9HCE7	0.592224912	0	46.86	2.358327627	2	0.362	1	FALSE
RCN1	ENST00000054950	Q15293	0.592193436	0	13.895	1.911563754	3	1.13	6	FALSE
TRAPPC5	ENST00000426877	Q8IUR0	0.592157228	0	3.1383	3.317073345	0	1.422	7	TRUE
KLHL17	ENST00000338591	Q6TDP4	0.592144745	0	28.65	2.803878784	1	1.259	6	FALSE
PABPN1	ENST00000216727	Q86U42	0.592067917	0	13.615	2.880603552	1	0.569	2	FALSE
PYGM	ENST00000164139	P11217	0.591993858	0	42.605	4.104449749	0	0.874	4	FALSE
RMND5A	ENST00000283632	Q9H871	0.59198448	0	20.649	1.774155498	4	0.375	1	FALSE
FAM46A	ENST00000320172	Q96IP4	0.591829166	0	12.673	2.414974689	2	0.374	1	FALSE
UXS1	ENST00000409501	Q8NBZ7	0.591825538	0	26.04	4.074494839	0	0.603	2	FALSE
CUL4A	ENST00000375440	Q13619	0.591814699	0	38.329	2.074936152	3	0.124	0	FALSE
AMD1	ENST00000368885	P17707	0.59176345	0	16.695	3.15676403	1	0.284	0	FALSE
IPO7	ENST00000379719	O95373	0.591694397	0	59.641	3.911087513	0	0.106	0	FALSE
THOC7	ENST00000295899	Q6I9Y2	0.591680078	0	14.431	3.408470869	0	0.821	4	FALSE
MYL4	ENST00000393450	P12829	0.59167799	0	9.511	2.936057329	1	1.377	7	TRUE
BMP1	ENST00000306385	P13497	0.591622298	0	53.308	3.693341494	0	0.456	2	FALSE
PLS3	ENST00000539310	P13797	0.591611979	0	21.066	3.830624819	0	0.299	1	FALSE
ASH2L	ENST00000343823	Q9UBL3	0.59149369	0	36.324	3.167840958	1	0.213	0	FALSE
TLK1	ENST00000431350	Q9UKI8	0.591481467	0	46.999	3.069833279	1	0.165	0	FALSE
CDIPT	ENST00000570016	O14735	0.591455053	0	9.7613	1.868594527	3	0.794	4	TRUE
RNF166	ENST00000312838	Q96A37	0.591332859	0	10.249	1.524313331	4	0.614	2	FALSE
GYS1	ENST00000323798	P13807	0.591279191	0	41.515	2.77137208	1	0.527	2	FALSE
CPSF3L	ENST00000435064	Q5TA45	0.591182244	0	36.449	3.83038497	0	0.99	5	FALSE
PDIK1L	ENST00000374271	Q8N165	0.591108379	0	12.061	2.304180622	2	0.643	3	FALSE
HCN1	ENST00000303230	O60741	0.591078565	0	34.784	1.65777874	4	0.181	0	FALSE
CKMT2	ENST00000424301	P17540	0.591076636	0	23.684	3.530226946	0	1.474	7	FALSE
CTPS1	ENST00000372616	P17812	0.590946817	0	36.694	4.386402607	0	0.287	0	FALSE
BRSK1	ENST00000309383	Q8TDC3	0.590855428	0	37.763	3.394836187	0	0.205	0	FALSE
USP9X	ENST00000378308	Q93008	0.590716778	0	93.212	4.422365189	0	0.068	0	FALSE
SYK	ENST00000375746	P43405	0.590667434	0	34.114	1.120493531	6	0.185	0	FALSE
KPNA6	ENST00000373625	O60684	0.590591903	0	34.619	1.686526179	4	0.224	0	FALSE
ASIC1	ENST00000447966	P78348	0.590555249	0	29.903	2.530712366	2	0.306	1	FALSE
BAP1	ENST00000460680	Q92560	0.590550593	0	33.05	2.90532589	1	0.277	0	FALSE
RBPMS	ENST00000397323	Q93062	0.590418945	0	11.708	1.468852639	5	0.405	1	FALSE
HSPE1	ENST00000233893	P61604	0.59039838	0	5.3855	3.437676907	0	0.556	2	TRUE
GPR89B	ENST00000314163	B7ZAQ6	0.590396267	0	10.593	3.385923386	0	1.24	6	FALSE
RSRC2	ENST00000331738	Q7L4I2	0.590316057	0	28.97	2.308907986	2	0.217	0	FALSE
RNF24	ENST00000358395	Q9Y225	0.590314806	0	8.6132	0.538984537	8	0.9	4	TRUE
ACTR6	ENST00000188312	Q9GZN1	0.590296604	0	22.443	2.580702066	2	1.083	5	FALSE
MYO7A	ENST00000409709	Q13402	0.590292439	0	109.71	3.980898142	0	0.848	4	FALSE
PPFIA2	ENST00000549396	O75334	0.590286048	0	75.402	4.246024609	0	0.139	0	FALSE
ABCG1	ENST00000361802	P45844	0.590283273	0	31.285	2.912461519	1	0.461	2	FALSE
KLHL14	ENST00000359358	Q9P2G3	0.590220116	0	29.144	3.231570482	1	0.495	2	FALSE
ARFGEF1	ENST00000262215	Q9Y6D6	0.590152149	0	101.05	4.697136402	0	0.143	0	FALSE
FAM49A	ENST00000406434	Q9H0Q0	0.590095805	0	19.992	3.738456726	0	0.526	2	FALSE
LIN7B	ENST00000221459	Q9HAP6	0.590074257	0	10.681	3.625124693	0	0.444	1	FALSE
LASP1	ENST00000435347	Q14847	0.589931444	0	17.092	1.180399537	6	0.278	0	FALSE
ZAP70	ENST00000264972	P43403	0.58975273	0	28.849	2.72565484	1	0.364	1	FALSE
ST13	ENST00000216218	P50502	0.589717115	0	25.38	1.734990716	4	0.414	1	FALSE
NDUFS7	ENST00000233627	O75251	0.589702845	0	12.29	2.894990444	1	0.386	1	FALSE
PCMTD1	ENST00000522514	Q96MG8	0.589651682	0	16.496	1.937700152	3	0.555	2	FALSE
IDH1	ENST00000415913	O75874	0.589624352	0	20.999	2.701270103	1	1.327	7	FALSE
SF3B4	ENST00000271628	Q15427	0.58959582	0	14.359	4.011811256	0	0.208	0	FALSE
MCM5	ENST00000216122	P33992	0.589431518	0	34.597	2.81858778	1	0.562	2	FALSE
MBNL1	ENST00000463374	Q9NR56	0.589423484	0	21.528	4.098668098	0	0.425	1	FALSE
PSMA8	ENST00000308268	Q8TAA3	0.58926997	0	15.312	1.835981607	4	1.026	5	FALSE
CYBB	ENST00000378588	P04839	0.589251235	0	24.539	1.78678143	4	0.193	0	FALSE
NBEA	ENST00000400445	Q8NFP9	0.589111109	0	142.15	4.552293777	0	0.074	0	FALSE
MMD	ENST00000262065	Q15546	0.589085661	0	13.381	2.244677067	2	1.079	5	FALSE
TWIST1	ENST00000242261	Q15672	0.589002942	0	4.4659	2.829640388	1	1.056	5	TRUE
PLK1	ENST00000300093	P53350	0.58899444	0	24.989	3.551924229	0	0.31	1	FALSE
GATAD1	ENST00000287957	Q8WUU5	0.58893101	0	9.6434	0.834653258	7	0.653	3	TRUE
NPTN	ENST00000345330	Q9Y639	0.58890987	0	19.225	3.562755823	0	0.247	0	FALSE
NMT1	ENST00000258960	P30419	0.588852755	0	29.213	1.808707237	4	0.265	0	FALSE
HS2ST1	ENST00000370550	Q7LGA3	0.588840961	0	19.669	1.63058126	4	0.465	2	FALSE
SLC31A1	ENST00000374212	O15431	0.588779644	0	7.8377	0.912792504	6	0.989	5	TRUE
IDH2	ENST00000330062	P48735	0.588760158	0	20.176	2.18362689	3	0.384	1	FALSE
PRKCH	ENST00000332981	P24723	0.588707416	0	40.468	2.773768425	1	0.388	1	FALSE
SMARCC2	ENST00000267064	Q8TAQ2	0.588652957	0	66.249	3.557436466	0	0.117	0	FALSE
TMEM63B	ENST00000323267	Q5T3F8	0.588628524	0	46.091	3.886952877	0	0.168	0	FALSE
CTBP1	ENST00000290921	Q13363	0.58862504	0	17.046	3.377452135	0	0.278	0	FALSE
ASB7	ENST00000332783	Q9H672	0.588538967	0	16.965	1.95616889	3	0.28	0	FALSE
YIPF3	ENST00000372422	Q9GZM5	0.58849802	0	18.773	3.335950136	0	0.56	2	FALSE
CPSF6	ENST00000435070	Q16630	0.588492932	0	29.078	2.522304535	2	0.163	0	FALSE
RND3	ENST00000263895	P61587	0.588417287	0	10.571	2.768294334	1	0.283	0	FALSE
SF3A1	ENST00000215793	Q15459	0.588292416	0	39.694	2.519010067	2	0.298	1	FALSE
SLC12A6	ENST00000558667	Q9UHW9	0.588121097	0	64.572	4.16134119	0	0.395	1	FALSE
RYR1	ENST00000359596	P21817	0.587980542	0	251.96	4.1054492	0	0.456	2	FALSE
KCNC3	ENST00000477616	Q14003	0.587965062	0	15.583	2.102129698	3	0.587	2	FALSE
AGAP1	ENST00000304032	Q9UPQ3	0.587922506	0	51.341	1.282524109	5	0.231	0	FALSE
C1QL1	ENST00000253407	O75973	0.587864499	0	5.2258	1.83286643	4	1.907	9	TRUE
GMPS	ENST00000496455	P49915	0.587796823	0	31.741	1.341246367	5	0.244	0	FALSE
UCKL1	ENST00000354216	Q9NWZ5	0.587759749	0	24.538	3.540813923	0	1.328	7	FALSE
SPTBN1	ENST00000356805	Q01082	0.587755927	0	119.37	3.94930625	0	0.088	0	FALSE
SH3GL2	ENST00000380607	Q99962	0.587748539	0	21.499	2.68807745	1	0.789	4	FALSE
ABR	ENST00000302538	Q12979	0.587657737	0	47.037	2.614718914	2	0.361	1	FALSE
SUPT6H	ENST00000314616	Q7KZ85	0.587612954	0	105.73	4.404279709	0	0.087	0	FALSE
DNMT3A	ENST00000321117	Q9Y6K1	0.587534757	0	41.433	3.396054029	0	1.581	8	FALSE
CISD2	ENST00000273986	Q8N5K1	0.587440535	0	5.2021	0.521540523	8	0.91	4	TRUE
CCDC25	ENST00000356537	Q86WR0	0.587351414	0	15.502	0.802064002	7	0.764	3	FALSE
PRPSAP2	ENST00000268835	O60256	0.587205016	0	17.028	3.393056631	0	0.772	3	FALSE
PPM1A	ENST00000395076	P35813	0.587163147	0	15.665	1.788649321	4	0.191	0	FALSE
FAM78A	ENST00000372271	Q5JUQ0	0.587129689	0	9.0183	1.214275479	5	0.698	3	TRUE
NDST1	ENST00000261797	P52848	0.587064602	0	41.532	1.838787556	3	0.187	0	FALSE
DMAP1	ENST00000315913	Q9NPF5	0.58682679	0	23.997	4.563020706	0	0.548	2	FALSE
CA8	ENST00000317995	P35219	0.586651144	0	19.618	0.894388795	6	0.67	3	FALSE
DPF1	ENST00000420980	Q92782	0.586651056	0	24.364	2.199220181	3	0.318	1	FALSE
TLE4	ENST00000376552	Q04727	0.586640069	0	42.093	3.717068434	0	0.15	0	FALSE
ZSWIM8	ENST00000605216	A7E2V4	0.586559468	0	79.707	4.59422636	0	0.132	0	FALSE
PLRG1	ENST00000499023	O43660	0.586544137	0	33.543	2.371088505	2	0.231	0	FALSE
ELOVL1	ENST00000372458	Q9BW60	0.586496589	0	16.783	3.090404034	1	0.462	2	FALSE
PRDX2	ENST00000301522	P32119	0.586447817	0	8.5915	2.766434669	1	0.902	4	TRUE
CTNNBL1	ENST00000361383	Q8WYA6	0.58632048	0	33.279	4.581802368	0	0.51	2	FALSE
PPIP5K2	ENST00000358359	O43314	0.586319248	0	69.377	3.433715343	0	0.815	4	FALSE
FERMT2	ENST00000341590	Q96AC1	0.586262433	0	35.621	3.995677948	0	0.084	0	FALSE
KCNA1	ENST00000382545	Q09470	0.586249194	0	12.54	1.857922316	3	0.73	3	FALSE
NFIA	ENST00000403491	Q12857	0.586197493	0	28.683	3.399018049	0	0.104	0	FALSE
C1QTNF3	ENST00000231338	Q9BXJ4	0.586185119	0	13.432	1.578609586	4	1.354	7	FALSE
ACO2	ENST00000216254	Q99798	0.586179035	0	37.658	4.468574047	0	0.417	1	FALSE
RDH10	ENST00000240285	Q8IZV5	0.586124468	0	12.916	1.82154727	4	0.231	0	FALSE
ODF1	ENST00000285402	Q14990	0.586085871	0	11.048	1.641312003	4	0.271	0	FALSE
UBE2C	ENST00000356455	O00762	0.585928811	0	9.1388	3.164638042	1	0.848	4	TRUE
FAM57B	ENST00000380495	Q71RH2	0.585852689	0	12.207	1.38633728	5	0.516	2	FALSE
NCK2	ENST00000393349	O43639	0.585810867	0	14.333	2.976535797	1	0.541	2	FALSE
ACER3	ENST00000532485	Q9NUN7	0.585757336	0	19.973	0.586091399	7	0.388	1	FALSE
TMED7	ENST00000456936	Q9Y3B3	0.585663667	0	10.175	1.340428948	5	0.619	3	FALSE
NT5DC2	ENST00000307076	Q9H857	0.585647099	0	30.547	3.065045834	1	0.677	3	FALSE
ATXN7L3	ENST00000389384	Q14CW9	0.585590445	0	23.621	2.33303833	2	0.126	0	FALSE
PPP2R5B	ENST00000164133	Q15173	0.585555321	0	25.82	2.686441183	1	0.3	1	FALSE
ARL5B	ENST00000377275	Q96KC2	0.585492346	0	11.303	0.933998227	6	1.048	5	FALSE
RRAGD	ENST00000369415	Q9NQL2	0.585491133	0	14.425	1.588578224	4	0.436	1	FALSE
KCND3	ENST00000315987	Q9UK17	0.585338522	0	22.582	3.912148952	0	0.279	0	FALSE
SEC23B	ENST00000377465	Q15437	0.585274931	0	49.782	3.534145355	0	0.978	5	FALSE
GRIK5	ENST00000593562	Q16478	0.585224777	0	46.194	3.941217899	0	0.285	0	FALSE
RPS4Y1	ENST00000250784	P22090	0.585207075	0	3.1427	2.689261675	1	0.942	4	TRUE
CLCN5	ENST00000376088	P51795	0.585125198	0	27.812	1.648687005	4	0.279	0	FALSE
RERG	ENST00000536465	Q96A58	0.585123201	0	12.241	1.691608787	4	1.282	6	FALSE
SGK1	ENST00000237305	O00141	0.585089566	0	23.164	4.027194977	0	0.678	3	FALSE
SLC25A14	ENST00000218197	O95258	0.585076417	0	13.392	3.333978891	0	0.223	0	FALSE
NIPSNAP1	ENST00000216121	Q9BPW8	0.585060095	0	22.134	1.896597028	3	0.535	2	FALSE
MEST	ENST00000223215	Q5EB52	0.585036615	0	22.503	2.0736444	3	0.467	2	FALSE
SLC25A16	ENST00000609923	P16260	0.584945772	0	18.548	0.877923429	7	1.048	5	FALSE
ZNF423	ENST00000262383	Q2M1K9	0.584724837	0	41.552	4.794086456	0	0.187	0	FALSE
SPRYD3	ENST00000301463	Q8NCJ5	0.584709392	0	23.361	2.080187798	3	0.507	2	FALSE
GMPR2	ENST00000399440	Q9P2T1	0.584702857	0	17.036	3.079866886	1	1.285	6	FALSE
SLC35B1	ENST00000240333	P78383	0.584605262	0	16.647	2.973684788	1	1.019	5	FALSE
DNAJB5	ENST00000545841	O75953	0.584549805	0	10.971	2.225638866	2	0.574	2	FALSE
KCTD13	ENST00000568000	Q8WZ19	0.584541554	0	13.859	2.341350317	2	0.949	5	FALSE
KLF7	ENST00000309446	O75840	0.584387344	0	12.212	2.039191723	3	0.245	0	FALSE
SRSF10	ENST00000492112	O75494	0.584352728	0	1.2572	1.579943299	4	1.642	8	TRUE
C1QL2	ENST00000272520	Q7Z5L3	0.584251077	0	6.3335	1.477515459	5	1.218	6	TRUE
DPH3	ENST00000488423	Q96FX2	0.584204483	0	3.8988	0.289883792	8	1.52	7	TRUE
ARL5A	ENST00000295087	Q9Y689	0.584129359	0	9.7142	1.179976702	6	0.798	4	TRUE
EI24	ENST00000278903	O14681	0.58412123	0	21.895	2.83693099	1	0.418	1	FALSE
STAT5B	ENST00000293328	P51692	0.584097987	0	47.773	2.513897657	2	0.22	0	FALSE
LPHN2	ENST00000370717	O95490	0.584068609	0	75.204	5.013937473	0	0.157	0	FALSE
BTBD6	ENST00000392554	Q96KE9	0.584062172	0	17.133	2.899554968	1	1.063	5	FALSE
LHX5	ENST00000261731	Q9H2C1	0.584045924	0	13.613	2.451274872	2	0.348	1	FALSE
FGF14	ENST00000376143	Q92915	0.584042485	0	11.472	5.501430035	0	0.676	3	FALSE
ABHD2	ENST00000352732	P08910	0.584018063	0	21.222	1.355041981	5	0.431	1	FALSE
PFKFB4	ENST00000232375	Q16877	0.583987284	0	27.903	1.649325848	4	0.957	5	FALSE
GNA13	ENST00000439174	Q14344	0.583985244	0	15.392	1.254107714	5	0.409	1	FALSE
GRM8	ENST00000339582	O00222	0.583942851	0	41.864	4.064960003	0	0.638	3	FALSE
CACNB4	ENST00000539935	O00305	0.583918418	0	32.002	2.083045006	3	0.491	2	FALSE
EGR3	ENST00000317216	Q06889	0.583811833	0	9.5973	2.198210955	3	0.312	1	TRUE
CALU	ENST00000249364	O43852	0.58378418	0	17.09	1.402122498	5	0.454	2	FALSE
CLK2	ENST00000368361	P49760	0.583771595	0	38.737	3.938767672	0	0.163	0	FALSE
UNC119	ENST00000335765	Q13432	0.583757709	0	9.8853	2.37522912	2	1.327	7	TRUE
C1QL4	ENST00000334221	Q86Z23	0.58370051	0	5.2894	1.150679708	6	0.896	4	TRUE
FBXL16	ENST00000324361	Q8N461	0.583679585	0	15.238	2.227106571	2	0.311	1	FALSE
CELF3	ENST00000290583	Q5SZQ8	0.583626712	0	26.792	1.456582546	5	0.392	1	FALSE
BLOC1S1	ENST00000548925	P78537	0.583545842	0	8.0486	3.317015886	0	0.963	5	TRUE
NLGN3	ENST00000358741	Q9NZ94	0.583517696	0	20.325	4.485671997	0	0.31	1	FALSE
METAP2	ENST00000323666	P50579	0.583510028	0	26.477	2.746327162	1	0.593	2	FALSE
GLS	ENST00000320717	O94925	0.583508123	0	36.614	2.270745039	2	0.323	1	FALSE
EHD2	ENST00000263277	Q9NZN4	0.58348019	0	17.022	1.947958589	3	0.538	2	FALSE
ELOVL6	ENST00000302274	Q9H5J4	0.583358764	0	14.894	2.461971045	2	0.319	1	FALSE
PTPN6	ENST00000318974	P29350	0.583320838	0	36	3.352144003	0	0.132	0	FALSE
VCL	ENST00000211998	P18206	0.583288404	0	55.222	3.727480412	0	0.396	1	FALSE
MAD2L1	ENST00000296509	Q13257	0.583260045	0	11.242	0.613540471	7	0.935	4	FALSE
DHX38	ENST00000268482	Q92620	0.583147779	0	70.769	4.200387478	0	0.607	2	FALSE
NTRK3	ENST00000360948	Q16288	0.583143731	0	40.65	3.958656073	0	0.259	0	FALSE
MEIS2	ENST00000561208	O14770	0.583140568	0	25.72	3.661879778	0	0.184	0	FALSE
ATP5L	ENST00000300688	O75964	0.583108709	0	5.6973	1.3800776	5	1.55	8	TRUE
MAP2K2	ENST00000262948	P36507	0.5830977	0	19.378	3.205431223	1	0.325	1	FALSE
MYO1E	ENST00000288235	Q12965	0.5830819	0	68.477	1.952201128	3	0.442	1	FALSE
ANAPC16	ENST00000299381	Q96DE5	0.583077784	0	5.3402	0.85179019	7	1.42	7	TRUE
WDR47	ENST00000369962	O94967	0.582966386	0	42.232	3.856905937	0	0.342	1	FALSE
TMEM9B	ENST00000534025	Q9NQ34	0.582959376	0	10.716	2.187710762	3	0.588	2	FALSE
UBTD1	ENST00000370664	Q9HAC8	0.58295107	0	8.8567	2.212472439	2	0.536	2	TRUE
KCMF1	ENST00000409785	Q9P0J7	0.58291073	0	16.007	1.63284409	4	0.296	1	FALSE
CLASP2	ENST00000480013	O75122	0.582900448	0	73.686	3.75004673	0	0.196	0	FALSE
RAB13	ENST00000368575	P51153	0.582744621	0	13.804	2.07065177	3	0.762	3	FALSE
POP7	ENST00000303151	O75817	0.582690345	0	2.7269	1.627120018	4	1.783	9	TRUE
SSRP1	ENST00000278412	Q08945	0.582617744	0	38.254	3.653668404	0	0.275	0	FALSE
SRP9	ENST00000304786	P49458	0.582615252	0	5.2379	1.283774257	5	0.904	4	TRUE
EIF4B	ENST00000262056	P23588	0.582454982	0	38.514	2.359119654	2	0.123	0	FALSE
CCT2	ENST00000299300	P78371	0.582328357	0	27.807	4.59370327	0	0.226	0	FALSE
AIG1	ENST00000357847	Q9NVV5	0.582265948	0	13.146	1.539874911	4	1.383	7	FALSE
HK2	ENST00000290573	P52789	0.582254593	0	40.079	2.208218098	2	0.485	2	FALSE
ISOC1	ENST00000173527	Q96CN7	0.582040062	0	13.687	2.07817626	3	1.418	7	FALSE
NDFIP1	ENST00000253814	Q9BT67	0.581921293	0	11.634	1.724707007	4	0.257	0	FALSE
ATP5G3	ENST00000392541	P48201	0.581917826	0	7.6238	3.670419455	0	0.826	4	TRUE
TOMM22	ENST00000216034	Q9NS69	0.581880032	0	7.1918	0.9141078	6	0.66	3	TRUE
STK4	ENST00000372806	Q13043	0.581791508	0	29.972	1.413768888	5	0.524	2	FALSE
FEM1B	ENST00000306917	Q9UK73	0.581555261	0	17.519	1.746961474	4	0.522	2	FALSE
FAM20B	ENST00000263733	O75063	0.581537083	0	21.284	1.26131916	5	0.913	4	FALSE
PRKCZ	ENST00000378567	Q05513	0.581527373	0	32.856	3.489300013	0	0.4	1	FALSE
ARPC5L	ENST00000259477	Q9BPX5	0.581499908	0	6.6094	2.120759964	3	0.718	3	TRUE
EMC8	ENST00000253457	O43402	0.58146715	0	10.656	1.544163108	4	0.445	1	FALSE
USP14	ENST00000261601	P54578	0.581438659	0	34.048	2.044516802	3	0.348	1	FALSE
PRPF18	ENST00000378572	Q99633	0.58133142	0	19.285	3.239965439	1	0.814	4	FALSE
TRPC4	ENST00000379705	Q9UBN4	0.581296336	0	45.265	3.227828741	1	0.375	1	FALSE
OPN1LW	ENST00000369951	P04000	0.581210443	0	11.388	2.203472614	2	0.263	0	FALSE
SLC32A1	ENST00000217420	Q9H598	0.581193659	0	14.972	3.876983881	0	0.317	1	FALSE
DDX42	ENST00000389924	Q86XP3	0.581189423	0	46.929	3.698955536	0	0.134	0	FALSE
FBP2	ENST00000375337	O00757	0.581146966	0	14.54	3.475893021	0	0.993	5	FALSE
RBM4B	ENST00000310046	Q9BQ04	0.581118666	0	13.678	3.066238165	1	0.769	3	FALSE
EML6	ENST00000356458	Q6ZMW3	0.58111742	0	99.826	3.654058456	0	0.453	2	FALSE
NF1	ENST00000358273	P21359	0.581063227	0	144.17	4.086075306	0	0.29	0	FALSE
HDAC8	ENST00000373573	Q9BY41	0.581046199	0	15.993	3.301169872	0	0.297	1	FALSE
RFWD2	ENST00000367669	Q8NHY2	0.581017291	0	45.384	3.892307997	0	0.202	0	FALSE
SLC25A12	ENST00000422440	O75746	0.581002435	0	37.789	3.095925331	1	0.416	1	FALSE
ZIC2	ENST00000376335	O95409	0.580982502	0	11.202	3.360868454	0	0.267	0	FALSE
CITED2	ENST00000536159	Q99967	0.580946765	0	4.7622	3.314244986	0	0.628	3	TRUE
WNT7B	ENST00000339464	P56706	0.580887333	0	17.599	1.014573693	6	0.82	4	FALSE
KCNJ12	ENST00000331718	Q14500	0.580883259	1	7.3543	3.005926132	1	1.053	5	TRUE
ADAM10	ENST00000260408	O14672	0.580879054	1	40.485	1.60768652	4	0.117	0	FALSE
SCFD1	ENST00000458591	Q8WVM8	0.58084923	1	44.638	4.350148678	0	0.236	0	FALSE
NAA38	ENST00000249299	O95777	0.580842364	1	5.9736	0.272884518	8	1.494	7	TRUE
TLE1	ENST00000376499	Q04724	0.580831788	1	38.338	3.4985075	0	0.239	0	FALSE
ZFR	ENST00000265069	Q96KR1	0.580830872	1	60.803	4.252995491	0	0.128	0	FALSE
TFAP4	ENST00000204517	Q01664	0.580808176	1	17.365	3.107226849	1	0.172	0	FALSE
CHN1	ENST00000409900	P15882	0.580642365	1	23.169	3.477230787	0	0.567	2	FALSE
MARK3	ENST00000429436	P27448	0.580594714	1	40.521	3.901016712	0	0.629	3	FALSE
CAMK2N2	ENST00000296238	Q96S95	0.580534745	1	3.0381	1.508360147	5	1.453	7	TRUE
GABRA3	ENST00000535043	P34903	0.580496632	1	15.031	3.845432043	0	0.699	3	FALSE
PFDN2	ENST00000368010	Q9UHV9	0.580443598	1	8.76	3.150217533	1	0.719	3	TRUE
SEC14L1	ENST00000436233	Q92503	0.580414716	1	37.189	1.712633491	4	0.354	1	FALSE
NCK1	ENST00000481752	P16333	0.580259186	1	15.946	1.686543584	4	0.825	4	FALSE
ATP1B2	ENST00000250111	P14415	0.580123213	1	16.835	1.249604225	5	0.624	3	FALSE
MID2	ENST00000262843	Q9UJV3	0.58011333	1	23.87	3.977365494	0	0.496	2	FALSE
CNOT3	ENST00000358389	O75175	0.580059641	1	22.934	2.099200487	3	0.516	2	FALSE
RAB15	ENST00000533601	P59190	0.580044021	1	12.958	0.995160997	6	0.706	3	FALSE
GMDS	ENST00000380815	O60547	0.580042941	1	23.039	3.157626629	1	0.273	0	FALSE
TADA2B	ENST00000310074	Q86TJ2	0.580015292	1	12.949	1.296934843	5	0.486	2	FALSE
CLDN7	ENST00000397317	O95471	0.579948352	1	8.4893	1.426074862	5	1.236	6	TRUE
NABP2	ENST00000341463	Q9BQ15	0.579914989	1	11.095	1.78536284	4	0.27	0	FALSE
C16orf87	ENST00000285697	Q6PH81	0.579879026	1	9.4735	0.625118315	7	1.109	5	TRUE
PI4K2A	ENST00000370631	Q9BTU6	0.579824427	1	22.965	1.864983797	3	0.399	1	FALSE
VPS33A	ENST00000267199	Q96AX1	0.579804148	1	32.808	1.881725788	3	0.44	1	FALSE
ZNF711	ENST00000276123	Q9Y462	0.579770832	1	20.626	4.115605831	0	0.305	1	FALSE
KCNT2	ENST00000294725	Q6UVM3	0.579689124	1	68.125	3.707900524	0	0.374	1	FALSE
GLRB	ENST00000509282	P48167	0.579682873	1	23.702	4.346916199	0	0.663	3	FALSE
SPTSSA	ENST00000298130	Q969W0	0.579625882	1	3.345	1.136790037	6	0.888	4	TRUE
MTA3	ENST00000405094	Q9BTC8	0.579619944	1	32.296	4.552114964	0	0.486	2	FALSE
ABI1	ENST00000376142	Q8IZP0	0.579610104	1	25.126	3.464926243	0	0.418	1	FALSE
WDTC1	ENST00000319394	Q8N5D0	0.579502546	1	33.791	2.831876278	1	0.229	0	FALSE
SUB1	ENST00000502897	P53999	0.579448868	1	7.2326	3.6991992	0	0.414	1	TRUE
EMC2	ENST00000220853	Q15006	0.579374607	1	21.56	1.538968801	4	0.67	3	FALSE
FIS1	ENST00000223136	Q9Y3D6	0.579325137	1	9.191	2.009202242	3	1.548	8	TRUE
ACAP2	ENST00000326793	Q15057	0.579258083	1	52.295	1.834634304	4	0.324	1	FALSE
BRPF1	ENST00000457855	P55201	0.579118414	1	51.9	4.538067818	0	0.176	0	FALSE
ZNHIT1	ENST00000305105	O43257	0.579114113	1	9.8017	2.343543768	2	1.578	8	TRUE
EPHA7	ENST00000369303	Q15375	0.579103634	1	49.27	3.893685102	0	0.128	0	FALSE
VDAC1	ENST00000395047	P21796	0.579070467	1	15.511	3.21798563	1	0.306	1	FALSE
UBR3	ENST00000418381	Q6ZT12	0.579029573	1	90.865	4.232179165	0	0.13	0	FALSE
MVB12B	ENST00000361171	Q9H7P6	0.578970907	1	19.819	0.56040144	7	0.462	2	FALSE
PARK7	ENST00000377488	Q99497	0.578957137	1	8.9661	3.187247753	1	0.529	2	TRUE
CDK11B	ENST00000407249	P21127	0.57874846	1	28.679	3.46165514	0	0.678	3	FALSE
DCAF12	ENST00000361264	Q5T6F0	0.578738214	1	24.087	2.538585663	2	0.858	4	FALSE
KCNAB2	ENST00000378092	Q13303	0.578729787	1	25.19	3.925309896	0	0.363	1	FALSE
HNRNPF	ENST00000337970	P52597	0.578729747	1	10.357	3.31445241	0	0.289	0	FALSE
SEC61B	ENST00000223641	P60468	0.578721371	1	5.0617	3.162987709	1	1.483	7	TRUE
RFC2	ENST00000055077	P35250	0.578716382	1	19.901	2.718930006	1	0.977	5	FALSE
FH	ENST00000366560	P07954	0.578680109	1	21.764	3.559280634	0	0.544	2	FALSE
FUNDC1	ENST00000378045	Q8IVP5	0.578641093	1	6.723	2.724862337	1	1.15	6	TRUE
RAF1	ENST00000251849	P04049	0.578606001	1	37.117	3.214880466	1	0.354	1	FALSE
